,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
327,2020-09-12T00:00:00.000,Virginia Beach,70-79,288,77,22
328,2020-09-12T00:00:00.000,Virginia Beach,80+,230,69,35
329,2020-09-12T00:00:00.000,Virginia Beach,Missing,126,0,0
330,2020-09-12T00:00:00.000,Western Tidewater,0-9,104,1,0
331,2020-09-12T00:00:00.000,Western Tidewater,10-19,227,0,0
332,2020-09-12T00:00:00.000,Western Tidewater,20-29,457,6,0
333,2020-09-12T00:00:00.000,Western Tidewater,30-39,483,18,2
334,2020-09-12T00:00:00.000,Western Tidewater,40-49,448,11,3
335,2020-09-12T00:00:00.000,Western Tidewater,50-59,587,26,4
336,2020-09-12T00:00:00.000,Western Tidewater,60-69,415,35,12
337,2020-09-12T00:00:00.000,Western Tidewater,70-79,251,35,22
338,2020-09-12T00:00:00.000,Western Tidewater,80+,222,38,52
339,2020-09-12T00:00:00.000,Western Tidewater,Missing,24,0,0
340,2020-09-12T00:00:00.000,West Piedmont,0-9,48,2,0
341,2020-09-12T00:00:00.000,West Piedmont,10-19,157,1,0
342,2020-09-12T00:00:00.000,West Piedmont,20-29,272,4,0
343,2020-09-12T00:00:00.000,West Piedmont,30-39,233,7,0
344,2020-09-12T00:00:00.000,West Piedmont,40-49,286,19,4
345,2020-09-12T00:00:00.000,West Piedmont,50-59,309,47,3
346,2020-09-12T00:00:00.000,West Piedmont,60-69,233,42,3
347,2020-09-12T00:00:00.000,West Piedmont,70-79,149,54,12
348,2020-09-12T00:00:00.000,West Piedmont,80+,141,48,14
349,2020-09-12T00:00:00.000,West Piedmont,Missing,0,0,0
350,2020-09-11T00:00:00.000,Alexandria,0-9,222,3,0
351,2020-09-11T00:00:00.000,Alexandria,10-19,253,4,0
352,2020-09-11T00:00:00.000,Alexandria,20-29,660,12,1
353,2020-09-11T00:00:00.000,Alexandria,30-39,834,37,1
354,2020-09-11T00:00:00.000,Alexandria,40-49,628,47,0
355,2020-09-11T00:00:00.000,Alexandria,50-59,453,62,12
356,2020-09-11T00:00:00.000,Alexandria,60-69,275,60,3
357,2020-09-11T00:00:00.000,Alexandria,70-79,126,44,18
358,2020-09-11T00:00:00.000,Alexandria,80+,115,35,27
359,2020-09-11T00:00:00.000,Alexandria,Missing,11,0,0
360,2020-09-11T00:00:00.000,Alleghany,0-9,43,0,0
361,2020-09-11T00:00:00.000,Alleghany,10-19,168,1,0
362,2020-09-11T00:00:00.000,Alleghany,20-29,273,1,0
363,2020-09-11T00:00:00.000,Alleghany,30-39,179,5,0
364,2020-09-11T00:00:00.000,Alleghany,40-49,178,5,0
365,2020-09-11T00:00:00.000,Alleghany,50-59,210,12,1
366,2020-09-11T00:00:00.000,Alleghany,60-69,120,13,1
367,2020-09-11T00:00:00.000,Alleghany,70-79,102,16,13
368,2020-09-11T00:00:00.000,Alleghany,80+,54,14,8
369,2020-09-11T00:00:00.000,Alleghany,Missing,4,0,0
370,2020-09-11T00:00:00.000,Arlington,0-9,96,2,0
371,2020-09-11T00:00:00.000,Arlington,10-19,200,5,0
372,2020-09-11T00:00:00.000,Arlington,20-29,816,24,0
373,2020-09-11T00:00:00.000,Arlington,30-39,699,46,0
374,2020-09-11T00:00:00.000,Arlington,40-49,596,62,9
375,2020-09-11T00:00:00.000,Arlington,50-59,504,80,7
376,2020-09-11T00:00:00.000,Arlington,60-69,348,89,19
377,2020-09-11T00:00:00.000,Arlington,70-79,206,81,35
378,2020-09-11T00:00:00.000,Arlington,80+,219,91,74
379,2020-09-11T00:00:00.000,Arlington,Missing,16,1,0
380,2020-09-11T00:00:00.000,Central Shenandoah,0-9,109,0,0
381,2020-09-11T00:00:00.000,Central Shenandoah,10-19,622,1,0
382,2020-09-11T00:00:00.000,Central Shenandoah,20-29,1279,14,0
383,2020-09-11T00:00:00.000,Central Shenandoah,30-39,505,10,1
384,2020-09-11T00:00:00.000,Central Shenandoah,40-49,534,20,0
385,2020-09-11T00:00:00.000,Central Shenandoah,50-59,547,44,6
386,2020-09-11T00:00:00.000,Central Shenandoah,60-69,392,54,15
387,2020-09-11T00:00:00.000,Central Shenandoah,70-79,202,61,18
388,2020-09-11T00:00:00.000,Central Shenandoah,80+,177,45,25
389,2020-09-11T00:00:00.000,Central Shenandoah,Missing,6,0,0
390,2020-09-11T00:00:00.000,Central Virginia,0-9,80,0,0
391,2020-09-11T00:00:00.000,Central Virginia,10-19,308,2,0
392,2020-09-11T00:00:00.000,Central Virginia,20-29,676,4,0
393,2020-09-11T00:00:00.000,Central Virginia,30-39,337,13,0
394,2020-09-11T00:00:00.000,Central Virginia,40-49,341,4,0
395,2020-09-11T00:00:00.000,Central Virginia,50-59,402,11,4
396,2020-09-11T00:00:00.000,Central Virginia,60-69,265,25,3
397,2020-09-11T00:00:00.000,Central Virginia,70-79,160,19,5
398,2020-09-11T00:00:00.000,Central Virginia,80+,114,14,7
399,2020-09-11T00:00:00.000,Central Virginia,Missing,3,0,0
400,2020-09-11T00:00:00.000,Chesapeake,0-9,133,1,0
401,2020-09-11T00:00:00.000,Chesapeake,10-19,318,4,0
402,2020-09-11T00:00:00.000,Chesapeake,20-29,743,7,0
403,2020-09-11T00:00:00.000,Chesapeake,30-39,741,24,0
404,2020-09-11T00:00:00.000,Chesapeake,40-49,617,46,1
405,2020-09-11T00:00:00.000,Chesapeake,50-59,591,61,3
406,2020-09-11T00:00:00.000,Chesapeake,60-69,450,89,13
407,2020-09-11T00:00:00.000,Chesapeake,70-79,219,73,7
