,report_date,health_district,number_of_cases,number_of_hospitalizations,number_of_deaths
307,2020-10-22T00:00:00.000,Richmond,5176,445,69
308,2020-10-22T00:00:00.000,Roanoke,2517,92,35
309,2020-10-22T00:00:00.000,Southside,1740,90,48
310,2020-10-22T00:00:00.000,Thomas Jefferson,4268,222,76
311,2020-10-22T00:00:00.000,Three Rivers,2187,136,37
312,2020-10-22T00:00:00.000,Virginia Beach,7679,426,103
313,2020-10-22T00:00:00.000,Western Tidewater,4496,226,148
314,2020-10-22T00:00:00.000,West Piedmont,2782,286,85
315,2020-10-21T00:00:00.000,Alexandria,4144,326,75
316,2020-10-21T00:00:00.000,Alleghany,2340,106,33
317,2020-10-21T00:00:00.000,Arlington,4437,522,152
318,2020-10-21T00:00:00.000,Central Shenandoah,6524,290,78
319,2020-10-21T00:00:00.000,Central Virginia,4442,169,58
320,2020-10-21T00:00:00.000,Chesapeake,4780,464,77
321,2020-10-21T00:00:00.000,Chesterfield,7373,445,131
322,2020-10-21T00:00:00.000,Chickahominy,2238,181,57
323,2020-10-21T00:00:00.000,Crater,4859,296,114
324,2020-10-21T00:00:00.000,Cumberland Plateau,1238,79,13
325,2020-10-21T00:00:00.000,Eastern Shore,1517,144,50
326,2020-10-21T00:00:00.000,Fairfax,23081,2242,619
327,2020-10-21T00:00:00.000,Hampton,2064,87,32
328,2020-10-21T00:00:00.000,Henrico,6058,475,227
329,2020-10-21T00:00:00.000,Lenowisco,1300,101,23
330,2020-10-21T00:00:00.000,Lord Fairfax,3741,313,126
331,2020-10-21T00:00:00.000,Loudoun,7634,470,130
332,2020-10-21T00:00:00.000,Mount Rogers,3447,297,144
333,2020-10-21T00:00:00.000,New River,4079,75,28
334,2020-10-21T00:00:00.000,Norfolk,5219,402,84
335,2020-10-21T00:00:00.000,Peninsula,4936,214,91
336,2020-10-21T00:00:00.000,Piedmont,2389,148,54
337,2020-10-21T00:00:00.000,Pittsylvania-Danville,2378,176,57
338,2020-10-21T00:00:00.000,Portsmouth,2741,298,67
339,2020-10-21T00:00:00.000,Prince William,16387,1166,257
340,2020-10-21T00:00:00.000,Rappahannock,5886,425,86
341,2020-10-21T00:00:00.000,Rappahannock Rapidan,2951,188,54
342,2020-10-21T00:00:00.000,Richmond,5145,445,68
343,2020-10-21T00:00:00.000,Roanoke,2478,90,35
344,2020-10-21T00:00:00.000,Southside,1729,90,47
345,2020-10-21T00:00:00.000,Thomas Jefferson,4229,216,76
346,2020-10-21T00:00:00.000,Three Rivers,2166,135,36
347,2020-10-21T00:00:00.000,Virginia Beach,7622,424,103
348,2020-10-21T00:00:00.000,Western Tidewater,4484,227,148
349,2020-10-21T00:00:00.000,West Piedmont,2736,284,85
350,2020-10-20T00:00:00.000,Alexandria,4133,324,75
351,2020-10-20T00:00:00.000,Alleghany,2297,103,32
352,2020-10-20T00:00:00.000,Arlington,4399,520,152
353,2020-10-20T00:00:00.000,Central Shenandoah,6489,291,77
354,2020-10-20T00:00:00.000,Central Virginia,4382,166,56
355,2020-10-20T00:00:00.000,Chesapeake,4763,464,79
356,2020-10-20T00:00:00.000,Chesterfield,7307,442,131
