,age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
297,50-64,23633,2020-05-26,23.9,564.0,15.2,18.4
298,65+,19095,2020-05-26,19.3,2933.0,79.1,15.6
299,Unknown,149,2020-05-26,0.2,0.0,0.0,0.0
300,0-17,5371,2020-05-27,5.3,0.0,0.0,22.5
301,18-49,52555,2020-05-27,51.7,218.0,5.7,43.5
302,50-64,24154,2020-05-27,23.8,579.0,15.2,18.4
303,65+,19462,2020-05-27,19.1,3019.0,79.1,15.6
304,Unknown,155,2020-05-27,0.2,0.0,0.0,0.0
305,0-17,5542,2020-05-28,5.3,0.0,0.0,22.5
306,18-49,53795,2020-05-28,51.8,222.0,5.7,43.5
307,50-64,24617,2020-05-28,23.7,599.0,15.3,18.4
308,65+,19773,2020-05-28,19.0,3083.0,79.0,15.6
309,Unknown,159,2020-05-28,0.2,0.0,0.0,0.0
310,0-17,5861,2020-05-29,5.5,0.0,0.0,22.5
311,18-49,55552,2020-05-29,52.0,228.0,5.7,43.5
312,50-64,25223,2020-05-29,23.6,618.0,15.5,18.4
313,65+,20073,2020-05-29,18.8,3139.0,78.8,15.6
314,Unknown,169,2020-05-29,0.2,0.0,0.0,0.0
315,0-17,6254,2020-05-30,5.7,0.0,0.0,22.5
316,18-49,57738,2020-05-30,52.2,230.0,5.7,43.5
317,50-64,25964,2020-05-30,23.5,627.0,15.5,18.4
318,65+,20455,2020-05-30,18.5,3186.0,78.8,15.6
319,Unknown,172,2020-05-30,0.2,0.0,0.0,0.0
320,0-17,6488,2020-05-31,5.7,0.0,0.0,22.5
321,18-49,59144,2020-05-31,52.3,231.0,5.7,43.5
322,50-64,26405,2020-05-31,23.4,636.0,15.6,18.4
323,65+,20792,2020-05-31,18.4,3213.0,78.8,15.6
324,Unknown,177,2020-05-31,0.2,0.0,0.0,0.0
325,0-17,6706,2020-06-01,5.8,0.0,0.0,22.5
326,18-49,60493,2020-06-01,52.5,235.0,5.7,43.5
327,50-64,26880,2020-06-01,23.3,642.0,15.6,18.4
328,65+,21054,2020-06-01,18.3,3250.0,78.7,15.6
329,Missing,177,2020-06-01,0.2,0.0,0.0,0.0
330,0-17,6925,2020-06-02,5.9,0.0,0.0,22.5
331,18-49,61896,2020-06-02,52.6,248.0,5.9,43.5
332,50-64,27334,2020-06-02,23.2,662.0,15.6,18.4
333,65+,21354,2020-06-02,18.1,3321.0,78.5,15.6
334,Missing,178,2020-06-02,0.2,0.0,0.0,0.0
335,0-17,7119,2020-06-03,5.9,0.0,0.0,22.5
336,18-49,63152,2020-06-03,52.7,250.0,5.8,43.5
337,50-64,27762,2020-06-03,23.2,671.0,15.6,18.4
338,65+,21595,2020-06-03,18.0,3377.0,78.6,15.6
339,Missing,179,2020-06-03,0.1,0.0,0.0,0.0
340,0-17,7408,2020-06-04,6.0,0.0,0.0,22.5
341,18-49,64914,2020-06-04,52.8,257.0,5.9,43.5
342,50-64,28396,2020-06-04,23.1,686.0,15.7,18.4
343,65+,22002,2020-06-04,17.9,3425.0,78.4,15.6
344,Missing,181,2020-06-04,0.1,0.0,0.0,0.0
345,0-17,8248,2020-06-07,6.3,0.0,0.0,22.5
346,18-49,69915,2020-06-07,53.2,271.0,6.0,43.5
347,50-64,30025,2020-06-07,22.9,715.0,15.8,18.4
348,65+,22939,2020-06-07,17.5,3542.0,78.2,15.6
349,Missing,192,2020-06-07,0.1,0.0,0.0,0.0
350,0-17,8509,2020-06-08,6.4,0.0,0.0,22.5
351,18-49,71233,2020-06-08,53.4,274.0,6.0,43.5
352,50-64,30400,2020-06-08,22.8,721.0,15.8,18.4
353,65+,23154,2020-06-08,17.3,3564.0,78.2,15.6
354,Missing,193,2020-06-08,0.1,0.0,0.0,0.0
355,0-17,8800,2020-06-09,6.5,0.0,0.0,22.5
356,18-49,72829,2020-06-09,53.5,280.0,6.0,43.5
357,50-64,30914,2020-06-09,22.7,741.0,15.9,18.4
358,65+,23469,2020-06-09,17.2,3642.0,78.1,15.6
359,Missing,179,2020-06-09,0.1,0.0,0.0,0.0
360,0-17,9136,2020-06-10,6.6,0.0,0.0,22.5
361,18-49,74622,2020-06-10,53.6,291.0,6.1,43.5
362,50-64,31530,2020-06-10,22.6,756.0,15.9,18.4
363,65+,23806,2020-06-10,17.1,3721.0,78.0,15.6
364,Missing,187,2020-06-10,0.1,1.0,0.0,0.0
365,0-17,9461,2020-06-11,6.7,0.0,0.0,22.5
366,18-49,76220,2020-06-11,53.7,295.0,6.1,43.5
367,50-64,32069,2020-06-11,22.6,771.0,16.0,18.4
368,65+,24043,2020-06-11,16.9,3765.0,77.9,15.6
369,Missing,190,2020-06-11,0.1,1.0,0.0,0.0
370,0-17,10184,2020-06-13,6.8,0.0,0.0,22.5
371,18-49,80348,2020-06-13,54.0,304.0,6.1,43.5
372,50-64,33357,2020-06-13,22.4,792.0,16.0,18.4
373,65+,24762,2020-06-13,16.6,3864.0,77.9,15.6
374,Missing,204,2020-06-13,0.1,1.0,0.0,0.0
375,0-17,10702,2020-06-15,7.0,0.0,0.0,22.5
376,18-49,83254,2020-06-15,54.2,308.0,6.2,43.5
377,50-64,34290,2020-06-15,22.3,801.0,16.0,18.4
378,65+,25109,2020-06-15,16.4,3892.0,77.8,15.6
379,Missing,205,2020-06-15,0.1,1.0,0.0,0.0
380,0-17,11582,2020-06-17,7.2,0.0,0.0,22.5
381,18-49,87796,2020-06-17,54.5,317.0,6.2,43.5
382,50-64,35609,2020-06-17,22.1,825.0,16.0,18.4
383,65+,25911,2020-06-17,16.1,3999.0,77.8,15.6
384,Missing,201,2020-06-17,0.1,1.0,0.0,0.0
385,0-17,12063,2020-06-18,7.3,0.0,0.0,22.5
386,18-49,90278,2020-06-18,54.6,320.0,6.1,43.5
387,50-64,36485,2020-06-18,22.1,841.0,16.0,18.4
388,65+,26385,2020-06-18,16.0,4088.0,77.9,15.6
389,Missing,205,2020-06-18,0.1,1.0,0.0,0.0
390,0-17,12441,2020-06-19,7.3,0.0,0.0,22.5
391,18-49,92703,2020-06-19,54.8,322.0,6.1,43.5
392,50-64,37213,2020-06-19,22.0,851.0,16.0,18.4
393,65+,26741,2020-06-19,15.8,4144.0,77.9,15.6
394,Missing,211,2020-06-19,0.1,1.0,0.0,0.0
395,0-17,12897,2020-06-20,7.4,0.0,0.0,22.5
396,18-49,95513,2020-06-20,54.9,326.0,6.0,43.5
397,50-64,38046,2020-06-20,21.9,868.0,16.1,18.4
398,65+,27173,2020-06-20,15.6,4207.0,77.9,15.6
399,Missing,195,2020-06-20,0.1,1.0,0.0,0.0
400,0-17,13346,2020-06-21,7.5,0.0,0.0,22.5
401,18-49,98269,2020-06-21,55.2,327.0,6.0,43.5
402,50-64,38795,2020-06-21,21.8,875.0,16.1,18.4
403,65+,27456,2020-06-21,15.4,4222.0,77.8,15.6
404,Missing,188,2020-06-21,0.1,1.0,0.0,0.0
405,0-17,13867,2020-06-22,7.6,0.0,0.0,22.5
406,18-49,101474,2020-06-22,55.4,328.0,6.0,43.5
407,50-64,39667,2020-06-22,21.7,880.0,16.2,18.4
408,65+,27864,2020-06-22,15.2,4236.0,77.8,15.6
409,Missing,201,2020-06-22,0.1,1.0,0.0,0.0
410,0-17,14524,2020-06-23,7.6,0.0,0.0,22.5
411,18-49,106053,2020-06-23,55.8,332.0,6.0,43.5
412,50-64,40923,2020-06-23,21.5,889.0,16.2,18.4
413,65+,28528,2020-06-23,15.0,4277.0,77.8,15.6
414,Missing,194,2020-06-23,0.1,1.0,0.0,0.0
415,0-17,14968,2020-06-24,7.7,0.0,0.0,22.5
416,18-49,109489,2020-06-24,56.0,336.0,6.0,43.5
417,50-64,41870,2020-06-24,21.4,909.0,16.2,18.4
418,65+,29048,2020-06-24,14.9,4357.0,77.8,15.6
419,Missing,196,2020-06-24,0.1,1.0,0.0,0.0
420,0-17,15449,2020-06-25,7.7,0.0,0.0,22.5
421,18-49,112547,2020-06-25,56.1,344.0,6.0,43.5
422,50-64,42721,2020-06-25,21.3,932.0,16.3,18.4
423,65+,29544,2020-06-25,14.7,4440.0,77.7,15.6
424,Missing,200,2020-06-25,0.1,1.0,0.0,0.0
425,0-17,16093,2020-06-26,7.8,0.0,0.0,22.5
426,18-49,116389,2020-06-26,56.4,347.0,6.0,43.5
427,50-64,43730,2020-06-26,21.2,944.0,16.3,18.4
428,65+,30007,2020-06-26,14.5,4494.0,77.7,15.6
429,Missing,214,2020-06-26,0.1,1.0,0.0,0.0
430,0-17,16546,2020-06-27,7.9,0.0,0.0,22.5
431,18-49,118923,2020-06-27,56.5,349.0,6.0,43.5
432,50-64,44383,2020-06-27,21.1,954.0,16.4,18.4
433,65+,30333,2020-06-27,14.4,4506.0,77.5,15.6
434,Missing,1058,2020-06-27,0.1,1.0,0.0,0.0
435,0-17,17157,2020-06-28,7.9,0.0,0.0,22.5
436,18-49,122833,2020-06-28,56.7,350.0,6.0,43.5
437,50-64,45434,2020-06-28,21.0,964.0,16.5,18.4
438,65+,30893,2020-06-28,14.3,4535.0,77.5,15.6
439,Missing,233,2020-06-28,0.1,1.0,0.0,0.0
440,0-17,17739,2020-06-29,8.0,0.0,0.0,22.5
441,18-49,127082,2020-06-29,57.0,351.0,6.0,43.5
442,50-64,46486,2020-06-29,20.9,967.0,16.5,18.4
443,65+,31379,2020-06-29,14.1,4558.0,77.6,15.6
444,Missing,231,2020-06-29,0.1,1.0,0.0,0.0
445,0-17,18672,2020-06-30,8.0,0.0,0.0,22.5
446,18-49,133458,2020-06-30,57.4,355.0,5.9,43.5
447,50-64,48149,2020-06-30,20.7,985.0,16.5,18.4
