County Name,Scrape Time,Total Cases,Total Deaths
Greene,2020-05-27 20:41:02.233354,120,8
Monroe,2020-05-27 20:41:02.233354,2,0
Daviess,2020-05-27 20:41:02.233354,4,0
Barton,2020-05-27 20:41:02.233354,0,0
Ripley,2020-05-27 20:41:02.233354,7,0
Gentry,2020-05-27 20:41:02.233354,21,0
Benton,2020-05-27 20:41:02.233354,10,0
Wright,2020-05-27 20:41:02.233354,11,0
Lincoln,2020-05-27 20:41:02.233354,81,1
Howell,2020-05-27 20:41:02.233354,5,0
Schuyler,2020-05-27 20:41:02.233354,1,0
Maries,2020-05-27 20:41:02.233354,2,0
Laclede,2020-05-27 20:41:02.233354,3,0
DeKalb,2020-05-27 20:41:02.233354,6,0
Vernon,2020-05-27 20:41:02.233354,9,0
Buchanan,2020-05-27 20:41:02.233354,662,2
Clay,2020-05-27 20:41:02.233354,158,3
Stone,2020-05-27 20:41:02.233354,4,0
Bollinger,2020-05-27 20:41:02.233354,6,0
Jefferson,2020-05-27 20:41:02.233354,332,16
Knox,2020-05-27 20:41:02.233354,0,0
Lafayette,2020-05-27 20:41:02.233354,72,1
Nodaway,2020-05-27 20:41:02.233354,9,0
Gasconade,2020-05-27 20:41:02.233354,2,0
Kansas City,2020-05-27 20:41:02.233354,1086,26
Livingston,2020-05-27 20:41:02.233354,3,0
Perry,2020-05-27 20:41:02.233354,50,0
Franklin,2020-05-27 20:41:02.233354,140,16
New Madrid,2020-05-27 20:41:02.233354,17,1
Iron,2020-05-27 20:41:02.233354,2,0
Howard,2020-05-27 20:41:02.233354,3,0
Randolph,2020-05-27 20:41:02.233354,9,0
Lewis,2020-05-27 20:41:02.233354,7,1
Texas,2020-05-27 20:41:02.233354,0,0
Douglas,2020-05-27 20:41:02.233354,0,0
Moniteau,2020-05-27 20:41:02.233354,45,1
Callaway,2020-05-27 20:41:02.233354,26,1
Atchison,2020-05-27 20:41:02.233354,3,0
St Charles,2020-05-27 20:41:02.233354,755,54
Ste Genevieve,2020-05-27 20:41:02.233354,9,1
Jasper,2020-05-27 20:41:02.233354,20,0
Joplin,2020-05-27 20:41:02.233354,13,0
Cedar,2020-05-27 20:41:02.233354,9,0
Andrew,2020-05-27 20:41:02.233354,30,0
Carroll,2020-05-27 20:41:02.233354,7,0
Henry,2020-05-27 20:41:02.233354,10,3
Madison,2020-05-27 20:41:02.233354,3,0
Boone,2020-05-27 20:41:02.233354,130,1
Ray,2020-05-27 20:41:02.233354,19,0
