County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Boone,MO,1.0,64.0,3.0,61.0,2020-03-31 18:10:56.643370
Camden,MO,1.0,12.0,2.0,10.0,2020-03-31 18:10:56.643370
Greene,MO,3.0,48.0,17.0,31.0,2020-03-31 18:10:56.643370
Henry,MO,1.0,1.0,1.0,0.0,2020-03-31 18:10:56.643370
Jackson,MO,1.0,77.0,5.0,72.0,2020-03-31 18:10:56.643370
Lafayette,MO,1.0,19.0,0.0,19.0,2020-03-31 18:10:56.643370
St. Charles County,MO,2.0,,,,2020-03-31 18:10:56.643370
St. Louis City,MO,1.0,136.0,11.0,125.0,2020-03-31 18:10:56.643370
St. Louis County,MO,3.0,492.0,29.0,463.0,2020-03-31 18:10:56.643370
Adair,MO,,2.0,0.0,2.0,2020-03-31 18:10:56.643370
Andrew,MO,,0.0,0.0,0.0,2020-03-31 18:10:56.643370
Atchison,MO,,1.0,1.0,0.0,2020-03-31 18:10:56.643370
Audrain,MO,,0.0,0.0,0.0,2020-03-31 18:10:56.643370
Barry,MO,,1.0,0.0,1.0,2020-03-31 18:10:56.643370
Barton,MO,,0.0,0.0,0.0,2020-03-31 18:10:56.643370
Bates,MO,,1.0,0.0,1.0,2020-03-31 18:10:56.643370
Benton,MO,,2.0,0.0,2.0,2020-03-31 18:10:56.643370
Bollinger,MO,,1.0,0.0,1.0,2020-03-31 18:10:56.643370
Buchanan,MO,,5.0,0.0,5.0,2020-03-31 18:10:56.643370
Butler,MO,,0.0,0.0,0.0,2020-03-31 18:10:56.643370
Caldwell,MO,,0.0,0.0,0.0,2020-03-31 18:10:56.643370
Callaway,MO,,14.0,1.0,13.0,2020-03-31 18:10:56.643370
Cape Girardeau,MO,,15.0,0.0,15.0,2020-03-31 18:10:56.643370
Carroll,MO,,0.0,0.0,0.0,2020-03-31 18:10:56.643370
Carter,MO,,4.0,1.0,3.0,2020-03-31 18:10:56.643370
Cass,MO,,14.0,3.0,11.0,2020-03-31 18:10:56.643370
Cedar,MO,,3.0,0.0,3.0,2020-03-31 18:10:56.643370
