County,stateAbbrev,Total_Deaths,Total,Positive_by_State_Public_Health_Laboratory,Positive_by_Commercial_or_Other_Laboratory,pullTime
Perry,MO,,14,9,5,10:56.6
Pettis,MO,,1,0,1,10:56.6
Phelps,MO,,0,0,0,10:56.6
Pike,MO,,1,1,0,10:56.6
Platte,MO,,9,0,9,10:56.6
Polk,MO,,0,0,0,10:56.6
Pulaski,MO,,7,1,6,10:56.6
Putnam,MO,,0,0,0,10:56.6
Ralls,MO,,1,1,0,10:56.6
Randolph,MO,,2,0,2,10:56.6
Ray,MO,,1,0,1,10:56.6
Reynolds,MO,,2,1,1,10:56.6
Ripley,MO,,2,0,2,10:56.6
Saline,MO,,0,0,0,10:56.6
Schuyler,MO,,0,0,0,10:56.6
Scotland,MO,,0,0,0,10:56.6
Scott,MO,,6,1,5,10:56.6
Shannon,MO,,0,0,0,10:56.6
Shelby,MO,,1,1,0,10:56.6
St. Charles,MO,,71,11,60,10:56.6
St. Clair,MO,,0,0,0,10:56.6
St. Francois,MO,,5,1,4,10:56.6
Ste. Genevieve,MO,,2,0,2,10:56.6
Stoddard,MO,,3,0,3,10:56.6
Stone,MO,,1,1,0,10:56.6
Sullivan,MO,,0,0,0,10:56.6
Taney,MO,,2,0,2,10:56.6
Texas,MO,,0,0,0,10:56.6
Vernon,MO,,0,0,0,10:56.6
Warren,MO,,5,0,5,10:56.6
Washington,MO,,0,0,0,10:56.6
Wayne,MO,,0,0,0,10:56.6
Webster,MO,,2,0,2,10:56.6
Worth,MO,,0,0,0,10:56.6
Wright,MO,,4,1,3,10:56.6
TBD,MO,,1,0,1,10:56.6
Boone,MO,1,64,3,61,12:12.2
Camden,MO,1,12,2,10,12:12.2
Greene,MO,3,48,17,31,12:12.2
Henry,MO,1,1,1,0,12:12.2
Jackson,MO,1,77,5,72,12:12.2
Lafayette,MO,1,19,0,19,12:12.2
St. Charles County,MO,2,,,,12:12.2
St. Louis City,MO,1,136,11,125,12:12.2
St. Louis County,MO,3,492,29,463,12:12.2
Adair,MO,,2,0,2,12:12.2
Andrew,MO,,0,0,0,12:12.2
Atchison,MO,,1,1,0,12:12.2
Audrain,MO,,0,0,0,12:12.2
Barry,MO,,1,0,1,12:12.2
Barton,MO,,0,0,0,12:12.2
Bates,MO,,1,0,1,12:12.2
Benton,MO,,2,0,2,12:12.2
Bollinger,MO,,1,0,1,12:12.2
Buchanan,MO,,5,0,5,12:12.2
Butler,MO,,0,0,0,12:12.2
Caldwell,MO,,0,0,0,12:12.2
Callaway,MO,,14,1,13,12:12.2
Cape Girardeau,MO,,15,0,15,12:12.2
Carroll,MO,,0,0,0,12:12.2
Carter,MO,,4,1,3,12:12.2
Cass,MO,,14,3,11,12:12.2
Cedar,MO,,3,0,3,12:12.2
Chariton,MO,,4,0,4,12:12.2
Christian,MO,,11,4,7,12:12.2
Clark,MO,,0,0,0,12:12.2
Clay,MO,,16,0,16,12:12.2
Clinton,MO,,4,0,4,12:12.2
Cole,MO,,23,3,20,12:12.2
Cooper,MO,,2,0,2,12:12.2
Crawford,MO,,1,0,1,12:12.2
Dade,MO,,0,0,0,12:12.2
Dallas,MO,,0,0,0,12:12.2
Daviess,MO,,0,0,0,12:12.2
DeKalb,MO,,0,0,0,12:12.2
Dent,MO,,0,0,0,12:12.2
Douglas,MO,,0,0,0,12:12.2
Dunklin,MO,,5,0,5,12:12.2
Franklin,MO,,13,0,13,12:12.2
Gasconade,MO,,0,0,0,12:12.2
Gentry,MO,,0,0,0,12:12.2
Grundy,MO,,0,0,0,12:12.2
Harrison,MO,,1,0,1,12:12.2
Hickory,MO,,0,0,0,12:12.2
Holt,MO,,0,0,0,12:12.2
Howard,MO,,0,0,0,12:12.2
Howell,MO,,0,0,0,12:12.2
Iron,MO,,0,0,0,12:12.2
Jasper,MO,,4,1,3,12:12.2
Jefferson,MO,,30,3,27,12:12.2
Johnson,MO,,10,1,9,12:12.2
Joplin,MO,,2,0,2,12:12.2
Kansas City,MO,,119,2,117,12:12.2
Knox,MO,,0,0,0,12:12.2
