Health District Name,Report Date,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
Alexandria,4/25/2020,Not Reported,4,0,0,2020-04-25 20:31:07.033242
Chesterfield,4/25/2020,Male,210,24,13,2020-04-25 20:31:07.033242
Rappahannock,4/25/2020,Female,191,32,2,2020-04-25 20:31:07.033242
Chickahominy,4/25/2020,Female,133,19,4,2020-04-25 20:31:07.033242
Arlington,4/25/2020,Male,377,76,17,2020-04-25 20:31:07.033242
Chesterfield,4/25/2020,Not Reported,7,0,0,2020-04-25 20:31:07.033242
Richmond,4/25/2020,Male,137,32,11,2020-04-25 20:31:07.033242
Prince William,4/25/2020,Female,686,76,8,2020-04-25 20:31:07.033242
Loudoun,4/25/2020,Male,271,50,6,2020-04-25 20:31:07.033242
Portsmouth,4/25/2020,Male,41,17,3,2020-04-25 20:31:07.033242
Henrico,4/25/2020,Female,448,52,47,2020-04-25 20:31:07.033242
Thomas Jefferson,4/25/2020,Female,135,27,3,2020-04-25 20:31:07.033242
Pittsylvania-Danville,4/25/2020,Female,25,9,1,2020-04-25 20:31:07.033242
Mount Rogers,4/25/2020,Not Reported,1,0,0,2020-04-25 20:31:07.033242
Chickahominy,4/25/2020,Male,67,20,8,2020-04-25 20:31:07.033242
Prince William,4/25/2020,Male,686,74,13,2020-04-25 20:31:07.033242
Thomas Jefferson,4/25/2020,Male,113,23,8,2020-04-25 20:31:07.033242
Cumberland Plateau,4/25/2020,Male,8,0,0,2020-04-25 20:31:07.033242
Lord Fairfax,4/25/2020,Not Reported,2,0,0,2020-04-25 20:31:07.033242
Portsmouth,4/25/2020,Not Reported,1,0,0,2020-04-25 20:31:07.033242
Eastern Shore,4/25/2020,Female,77,10,2,2020-04-25 20:31:07.033242
Three Rivers,4/25/2020,Male,100,8,0,2020-04-25 20:31:07.033242
Alexandria,4/25/2020,Male,272,42,10,2020-04-25 20:31:07.033242
Piedmont,4/25/2020,Female,70,6,1,2020-04-25 20:31:07.033242
New River,4/25/2020,Male,32,5,1,2020-04-25 20:31:07.033242
Rappahannock,4/25/2020,Male,176,46,7,2020-04-25 20:31:07.033242
Rappahannock Rapidan,4/25/2020,Male,106,13,2,2020-04-25 20:31:07.033242
Lord Fairfax,4/25/2020,Male,144,20,0,2020-04-25 20:31:07.033242
Chesapeake,4/25/2020,Male,84,22,3,2020-04-25 20:31:07.033242
Norfolk,4/25/2020,Female,87,15,0,2020-04-25 20:31:07.033242
Alleghany,4/25/2020,Female,47,5,2,2020-04-25 20:31:07.033242
Crater,4/25/2020,Male,72,17,3,2020-04-25 20:31:07.033242
Central Shenandoah,4/25/2020,Male,263,22,7,2020-04-25 20:31:07.033242
Rappahannock Rapidan,4/25/2020,Not Reported,5,0,0,2020-04-25 20:31:07.033242
Hampton,4/25/2020,Male,45,17,1,2020-04-25 20:31:07.033242
Southside,4/25/2020,Male,39,14,4,2020-04-25 20:31:07.033242
Hampton,4/25/2020,Female,56,9,0,2020-04-25 20:31:07.033242
Fairfax,4/25/2020,Male,1432,288,47,2020-04-25 20:31:07.033242
