Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
5/4/2020,Arlington,Not Hispanic or Latino,275,68,32,2020-05-04 19:46:59.762938
5/4/2020,Alleghany,Not Hispanic or Latino,79,15,3,2020-05-04 19:46:59.762938
5/4/2020,Loudoun,Not Reported,348,7,2,2020-05-04 19:46:59.762938
5/4/2020,Fairfax,Hispanic or Latino,1890,291,16,2020-05-04 19:46:59.762938
5/4/2020,Peninsula,Not Reported,72,3,2,2020-05-04 19:46:59.762938
5/4/2020,Crater,Hispanic or Latino,5,0,0,2020-05-04 19:46:59.762938
5/4/2020,Piedmont,Not Hispanic or Latino,138,17,3,2020-05-04 19:46:59.762938
5/4/2020,Henrico,Hispanic or Latino,49,11,2,2020-05-04 19:46:59.762938
5/4/2020,Alexandria,Not Hispanic or Latino,308,61,18,2020-05-04 19:46:59.762938
5/4/2020,Central Virginia,Hispanic or Latino,5,1,0,2020-05-04 19:46:59.762938
5/4/2020,Alleghany,Not Reported,39,1,0,2020-05-04 19:46:59.762938
5/4/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-05-04 19:46:59.762938
5/4/2020,Western Tidewater,Hispanic or Latino,3,0,0,2020-05-04 19:46:59.762938
5/4/2020,Chesterfield,Not Hispanic or Latino,186,33,14,2020-05-04 19:46:59.762938
5/4/2020,Pittsylvania-Danville,Not Hispanic or Latino,41,16,2,2020-05-04 19:46:59.762938
5/4/2020,Mount Rogers,Hispanic or Latino,33,0,0,2020-05-04 19:46:59.762938
5/4/2020,Richmond,Not Reported,114,11,0,2020-05-04 19:46:59.762938
5/4/2020,Peninsula,Not Hispanic or Latino,281,92,22,2020-05-04 19:46:59.762938
5/4/2020,Chesapeake,Hispanic or Latino,13,5,1,2020-05-04 19:46:59.762938
5/4/2020,Southside,Hispanic or Latino,1,0,0,2020-05-04 19:46:59.762938
5/4/2020,Thomas Jefferson,Not Hispanic or Latino,277,59,13,2020-05-04 19:46:59.762938
5/4/2020,Norfolk,Not Hispanic or Latino,177,39,4,2020-05-04 19:46:59.762938
5/4/2020,Portsmouth,Not Reported,105,9,1,2020-05-04 19:46:59.762938
5/4/2020,Norfolk,Not Reported,44,2,0,2020-05-04 19:46:59.762938
5/4/2020,Three Rivers,Hispanic or Latino,17,0,0,2020-05-04 19:46:59.762938
5/4/2020,Eastern Shore,Not Reported,87,0,0,2020-05-04 19:46:59.762938
5/4/2020,Alleghany,Hispanic or Latino,3,0,0,2020-05-04 19:46:59.762938
5/4/2020,Henrico,Not Reported,399,27,26,2020-05-04 19:46:59.762938
5/4/2020,Henrico,Not Hispanic or Latino,516,99,77,2020-05-04 19:46:59.762938
5/4/2020,Loudoun,Not Hispanic or Latino,360,58,14,2020-05-04 19:46:59.762938
5/4/2020,Hampton,Not Reported,30,2,0,2020-05-04 19:46:59.762938
5/4/2020,Rappahannock Rapidan,Not Hispanic or Latino,77,12,4,2020-05-04 19:46:59.762938
5/4/2020,Alexandria,Not Reported,239,7,4,2020-05-04 19:46:59.762938
5/4/2020,Rappahannock,Not Hispanic or Latino,195,43,9,2020-05-04 19:46:59.762938
5/4/2020,Western Tidewater,Not Reported,162,2,1,2020-05-04 19:46:59.762938
5/4/2020,Cumberland Plateau,Not Reported,13,0,0,2020-05-04 19:46:59.762938
5/4/2020,Alexandria,Hispanic or Latino,393,42,4,2020-05-04 19:46:59.762938
5/4/2020,Virginia Beach,Not Hispanic or Latino,313,69,14,2020-05-04 19:46:59.762938
5/4/2020,Prince William,Hispanic or Latino,748,142,3,2020-05-04 19:46:59.762938
5/4/2020,Virginia Beach,Not Reported,105,9,0,2020-05-04 19:46:59.762938
5/4/2020,Central Shenandoah,Hispanic or Latino,314,14,1,2020-05-04 19:46:59.762938
5/4/2020,Pittsylvania-Danville,Hispanic or Latino,0,0,0,2020-05-04 19:46:59.762938
5/4/2020,Mount Rogers,Not Hispanic or Latino,75,14,4,2020-05-04 19:46:59.762938
5/4/2020,Piedmont,Not Reported,99,6,0,2020-05-04 19:46:59.762938
5/4/2020,Southside,Not Hispanic or Latino,45,6,3,2020-05-04 19:46:59.762938
5/4/2020,Thomas Jefferson,Hispanic or Latino,12,0,0,2020-05-04 19:46:59.762938
5/4/2020,Pittsylvania-Danville,Not Reported,11,4,0,2020-05-04 19:46:59.762938
5/4/2020,Norfolk,Hispanic or Latino,18,4,0,2020-05-04 19:46:59.762938
5/4/2020,Portsmouth,Not Hispanic or Latino,74,24,7,2020-05-04 19:46:59.762938
5/4/2020,West Piedmont,Not Reported,8,1,0,2020-05-04 19:46:59.762938
5/4/2020,Richmond,Not Hispanic or Latino,247,55,15,2020-05-04 19:46:59.762938
5/4/2020,West Piedmont,Hispanic or Latino,3,0,0,2020-05-04 19:46:59.762938
5/4/2020,Prince William,Not Reported,1267,11,0,2020-05-04 19:46:59.762938
5/4/2020,Rappahannock Rapidan,Not Reported,162,5,1,2020-05-04 19:46:59.762938
5/4/2020,Chickahominy,Hispanic or Latino,2,1,0,2020-05-04 19:46:59.762938
5/4/2020,Lenowisco,Not Reported,20,5,1,2020-05-04 19:46:59.762938
5/4/2020,New River,Hispanic or Latino,0,0,0,2020-05-04 19:46:59.762938
5/4/2020,Crater,Not Reported,137,28,7,2020-05-04 19:46:59.762938
