Report Date,Health District,Ethnicity,Number of Cases,Number of Hospitalizations,Number of Deaths,Scrape_Time
6/8/2020,Southside,Not Reported,191,30,15,2020-06-08 20:31:22.637281
6/8/2020,Lord Fairfax,Hispanic or Latino,431,27,6,2020-06-08 20:31:22.637281
6/8/2020,Eastern Shore,Not Hispanic or Latino,921,80,36,2020-06-08 20:31:22.637281
6/8/2020,Portsmouth,Hispanic or Latino,12,2,0,2020-06-08 20:31:22.637281
6/8/2020,Fairfax,Not Reported,3266,122,117,2020-06-08 20:31:22.637281
6/8/2020,Richmond,Hispanic or Latino,501,48,3,2020-06-08 20:31:22.637281
6/8/2020,Chesapeake,Not Reported,120,8,0,2020-06-08 20:31:22.637281
6/8/2020,Arlington,Hispanic or Latino,977,186,15,2020-06-08 20:31:22.637281
6/8/2020,West Piedmont,Not Hispanic or Latino,153,16,3,2020-06-08 20:31:22.637281
6/8/2020,Fairfax,Not Hispanic or Latino,3204,692,262,2020-06-08 20:31:22.637281
6/8/2020,Piedmont,Hispanic or Latino,25,1,0,2020-06-08 20:31:22.637281
6/8/2020,Crater,Not Hispanic or Latino,355,68,9,2020-06-08 20:31:22.637281
6/8/2020,Chickahominy,Not Hispanic or Latino,221,68,30,2020-06-08 20:31:22.637281
6/8/2020,New River,Not Hispanic or Latino,89,16,3,2020-06-08 20:31:22.637281
6/8/2020,Lord Fairfax,Not Reported,453,22,15,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock,Not Reported,694,27,0,2020-06-08 20:31:22.637281
6/8/2020,Central Shenandoah,Not Reported,252,8,6,2020-06-08 20:31:22.637281
6/8/2020,Central Virginia,Not Hispanic or Latino,80,12,3,2020-06-08 20:31:22.637281
6/8/2020,Lenowisco,Not Hispanic or Latino,25,11,2,2020-06-08 20:31:22.637281
6/8/2020,Cumberland Plateau,Not Hispanic or Latino,22,2,0,2020-06-08 20:31:22.637281
6/8/2020,Western Tidewater,Not Hispanic or Latino,387,73,39,2020-06-08 20:31:22.637281
6/8/2020,New River,Not Reported,38,0,0,2020-06-08 20:31:22.637281
6/8/2020,Chesterfield,Not Reported,1255,25,21,2020-06-08 20:31:22.637281
6/8/2020,Chesterfield,Hispanic or Latino,366,9,0,2020-06-08 20:31:22.637281
6/8/2020,Hampton,Not Hispanic or Latino,152,30,3,2020-06-08 20:31:22.637281
6/8/2020,Chesapeake,Not Hispanic or Latino,426,81,14,2020-06-08 20:31:22.637281
6/8/2020,Peninsula,Hispanic or Latino,95,10,1,2020-06-08 20:31:22.637281
6/8/2020,Arlington,Not Reported,452,35,19,2020-06-08 20:31:22.637281
6/8/2020,Roanoke,Not Hispanic or Latino,80,10,9,2020-06-08 20:31:22.637281
6/8/2020,Lord Fairfax,Not Hispanic or Latino,744,85,37,2020-06-08 20:31:22.637281
6/8/2020,Eastern Shore,Hispanic or Latino,211,6,3,2020-06-08 20:31:22.637281
6/8/2020,Mount Rogers,Not Reported,25,2,0,2020-06-08 20:31:22.637281
6/8/2020,Three Rivers,Not Hispanic or Latino,316,31,6,2020-06-08 20:31:22.637281
6/8/2020,Thomas Jefferson,Not Reported,104,0,0,2020-06-08 20:31:22.637281
6/8/2020,Three Rivers,Not Reported,193,10,4,2020-06-08 20:31:22.637281
6/8/2020,Arlington,Not Hispanic or Latino,827,171,88,2020-06-08 20:31:22.637281
6/8/2020,Alleghany,Not Hispanic or Latino,130,19,14,2020-06-08 20:31:22.637281
6/8/2020,Loudoun,Not Reported,1743,7,8,2020-06-08 20:31:22.637281
6/8/2020,Fairfax,Hispanic or Latino,6258,635,48,2020-06-08 20:31:22.637281
6/8/2020,Peninsula,Not Reported,152,2,1,2020-06-08 20:31:22.637281
6/8/2020,Crater,Hispanic or Latino,53,2,1,2020-06-08 20:31:22.637281
6/8/2020,Piedmont,Not Hispanic or Latino,402,45,4,2020-06-08 20:31:22.637281
6/8/2020,Henrico,Hispanic or Latino,290,23,5,2020-06-08 20:31:22.637281
6/8/2020,Alexandria,Not Hispanic or Latino,715,109,36,2020-06-08 20:31:22.637281
6/8/2020,Central Virginia,Hispanic or Latino,21,1,1,2020-06-08 20:31:22.637281
6/8/2020,Alleghany,Not Reported,70,2,1,2020-06-08 20:31:22.637281
6/8/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-06-08 20:31:22.637281
6/8/2020,Western Tidewater,Hispanic or Latino,5,1,0,2020-06-08 20:31:22.637281
6/8/2020,Chesterfield,Not Hispanic or Latino,393,67,33,2020-06-08 20:31:22.637281
6/8/2020,Pittsylvania-Danville,Not Hispanic or Latino,80,21,3,2020-06-08 20:31:22.637281
6/8/2020,Mount Rogers,Hispanic or Latino,136,0,0,2020-06-08 20:31:22.637281
6/8/2020,Richmond,Not Reported,735,33,4,2020-06-08 20:31:22.637281
6/8/2020,Peninsula,Not Hispanic or Latino,433,106,31,2020-06-08 20:31:22.637281
6/8/2020,Chesapeake,Hispanic or Latino,50,8,1,2020-06-08 20:31:22.637281
6/8/2020,Southside,Hispanic or Latino,2,1,0,2020-06-08 20:31:22.637281
6/8/2020,Thomas Jefferson,Not Hispanic or Latino,389,72,19,2020-06-08 20:31:22.637281
6/8/2020,Norfolk,Not Hispanic or Latino,331,62,7,2020-06-08 20:31:22.637281
6/8/2020,Portsmouth,Not Reported,179,9,2,2020-06-08 20:31:22.637281
6/8/2020,Norfolk,Not Reported,162,0,0,2020-06-08 20:31:22.637281
6/8/2020,Three Rivers,Hispanic or Latino,62,0,0,2020-06-08 20:31:22.637281
6/8/2020,Eastern Shore,Not Reported,106,1,0,2020-06-08 20:31:22.637281
6/8/2020,Alleghany,Hispanic or Latino,38,4,0,2020-06-08 20:31:22.637281
6/8/2020,Henrico,Not Reported,877,30,21,2020-06-08 20:31:22.637281
6/8/2020,Henrico,Not Hispanic or Latino,961,165,108,2020-06-08 20:31:22.637281
6/8/2020,Loudoun,Not Hispanic or Latino,665,107,54,2020-06-08 20:31:22.637281
6/8/2020,Hampton,Not Reported,50,2,1,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock Rapidan,Not Hispanic or Latino,277,36,10,2020-06-08 20:31:22.637281
6/8/2020,Alexandria,Not Reported,233,5,3,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock,Not Hispanic or Latino,548,81,17,2020-06-08 20:31:22.637281
6/8/2020,Western Tidewater,Not Reported,273,3,1,2020-06-08 20:31:22.637281
6/8/2020,Cumberland Plateau,Not Reported,14,0,0,2020-06-08 20:31:22.637281
6/8/2020,Alexandria,Hispanic or Latino,1154,94,6,2020-06-08 20:31:22.637281
6/8/2020,Virginia Beach,Not Hispanic or Latino,541,90,22,2020-06-08 20:31:22.637281
6/8/2020,Prince William,Hispanic or Latino,3035,395,36,2020-06-08 20:31:22.637281
6/8/2020,Virginia Beach,Not Reported,199,6,2,2020-06-08 20:31:22.637281
6/8/2020,Central Shenandoah,Hispanic or Latino,709,42,3,2020-06-08 20:31:22.637281
6/8/2020,Pittsylvania-Danville,Hispanic or Latino,13,1,0,2020-06-08 20:31:22.637281
6/8/2020,Mount Rogers,Not Hispanic or Latino,293,39,10,2020-06-08 20:31:22.637281
6/8/2020,Piedmont,Not Reported,377,13,2,2020-06-08 20:31:22.637281
6/8/2020,Southside,Not Hispanic or Latino,104,13,10,2020-06-08 20:31:22.637281
6/8/2020,Thomas Jefferson,Hispanic or Latino,151,5,0,2020-06-08 20:31:22.637281
6/8/2020,Pittsylvania-Danville,Not Reported,17,6,0,2020-06-08 20:31:22.637281
6/8/2020,Norfolk,Hispanic or Latino,96,9,0,2020-06-08 20:31:22.637281
6/8/2020,Portsmouth,Not Hispanic or Latino,152,37,9,2020-06-08 20:31:22.637281
6/8/2020,West Piedmont,Not Reported,67,5,2,2020-06-08 20:31:22.637281
6/8/2020,Richmond,Not Hispanic or Latino,415,93,19,2020-06-08 20:31:22.637281
6/8/2020,West Piedmont,Hispanic or Latino,67,2,0,2020-06-08 20:31:22.637281
6/8/2020,Prince William,Not Reported,3648,20,4,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock Rapidan,Not Reported,425,18,2,2020-06-08 20:31:22.637281
6/8/2020,Chickahominy,Hispanic or Latino,30,2,0,2020-06-08 20:31:22.637281
6/8/2020,Lenowisco,Not Reported,21,5,2,2020-06-08 20:31:22.637281
6/8/2020,New River,Hispanic or Latino,15,1,0,2020-06-08 20:31:22.637281
6/8/2020,Crater,Not Reported,654,36,11,2020-06-08 20:31:22.637281
6/8/2020,Chickahominy,Not Reported,275,18,3,2020-06-08 20:31:22.637281
6/8/2020,Loudoun,Hispanic or Latino,739,67,5,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock Rapidan,Hispanic or Latino,601,42,5,2020-06-08 20:31:22.637281
6/8/2020,Roanoke,Not Reported,60,0,1,2020-06-08 20:31:22.637281
6/8/2020,Rappahannock,Hispanic or Latino,647,64,2,2020-06-08 20:31:22.637281
6/8/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-06-08 20:31:22.637281
6/8/2020,Virginia Beach,Hispanic or Latino,70,6,1,2020-06-08 20:31:22.637281
6/8/2020,Prince William,Not Hispanic or Latino,1202,243,95,2020-06-08 20:31:22.637281
6/8/2020,Central Virginia,Not Reported,146,4,0,2020-06-08 20:31:22.637281
6/8/2020,Central Shenandoah,Not Hispanic or Latino,748,83,22,2020-06-08 20:31:22.637281
6/8/2020,Hampton,Hispanic or Latino,25,1,0,2020-06-08 20:31:22.637281
6/8/2020,Roanoke,Hispanic or Latino,59,0,0,2020-06-08 20:31:22.637281
6/9/2020,Southside,Not Reported,187,26,14,2020-06-09 20:34:11.169232
6/9/2020,Lord Fairfax,Hispanic or Latino,437,27,6,2020-06-09 20:34:11.169232
6/9/2020,Eastern Shore,Not Hispanic or Latino,922,81,37,2020-06-09 20:34:11.169232
6/9/2020,Portsmouth,Hispanic or Latino,13,2,0,2020-06-09 20:34:11.169232
6/9/2020,Fairfax,Not Reported,3250,111,110,2020-06-09 20:34:11.169232
6/9/2020,Richmond,Hispanic or Latino,519,51,3,2020-06-09 20:34:11.169232
6/9/2020,Chesapeake,Not Reported,119,7,0,2020-06-09 20:34:11.169232
6/9/2020,Arlington,Hispanic or Latino,1021,188,15,2020-06-09 20:34:11.169232
6/9/2020,West Piedmont,Not Hispanic or Latino,159,16,3,2020-06-09 20:34:11.169232
6/9/2020,Fairfax,Not Hispanic or Latino,3252,705,269,2020-06-09 20:34:11.169232
6/9/2020,Piedmont,Hispanic or Latino,25,1,0,2020-06-09 20:34:11.169232
6/9/2020,Crater,Not Hispanic or Latino,368,72,10,2020-06-09 20:34:11.169232
6/9/2020,Chickahominy,Not Hispanic or Latino,223,69,30,2020-06-09 20:34:11.169232
6/9/2020,New River,Not Hispanic or Latino,89,16,3,2020-06-09 20:34:11.169232
6/9/2020,Lord Fairfax,Not Reported,457,21,15,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock,Not Reported,686,26,1,2020-06-09 20:34:11.169232
6/9/2020,Central Shenandoah,Not Reported,252,7,5,2020-06-09 20:34:11.169232
6/9/2020,Central Virginia,Not Hispanic or Latino,80,12,3,2020-06-09 20:34:11.169232
6/9/2020,Lenowisco,Not Hispanic or Latino,25,11,2,2020-06-09 20:34:11.169232
6/9/2020,Cumberland Plateau,Not Hispanic or Latino,21,2,0,2020-06-09 20:34:11.169232
6/9/2020,Western Tidewater,Not Hispanic or Latino,392,73,43,2020-06-09 20:34:11.169232
6/9/2020,New River,Not Reported,39,0,0,2020-06-09 20:34:11.169232
6/9/2020,Chesterfield,Not Reported,1306,19,19,2020-06-09 20:34:11.169232
6/9/2020,Chesterfield,Hispanic or Latino,385,9,0,2020-06-09 20:34:11.169232
6/9/2020,Hampton,Not Hispanic or Latino,155,31,3,2020-06-09 20:34:11.169232
6/9/2020,Chesapeake,Not Hispanic or Latino,430,82,14,2020-06-09 20:34:11.169232
6/9/2020,Peninsula,Hispanic or Latino,95,10,1,2020-06-09 20:34:11.169232
6/9/2020,Arlington,Not Reported,394,34,18,2020-06-09 20:34:11.169232
6/9/2020,Roanoke,Not Hispanic or Latino,80,10,9,2020-06-09 20:34:11.169232
6/9/2020,Lord Fairfax,Not Hispanic or Latino,747,88,37,2020-06-09 20:34:11.169232
6/9/2020,Eastern Shore,Hispanic or Latino,211,6,3,2020-06-09 20:34:11.169232
6/9/2020,Mount Rogers,Not Reported,24,0,0,2020-06-09 20:34:11.169232
6/9/2020,Three Rivers,Not Hispanic or Latino,316,30,5,2020-06-09 20:34:11.169232
6/9/2020,Thomas Jefferson,Not Reported,101,0,0,2020-06-09 20:34:11.169232
6/9/2020,Three Rivers,Not Reported,185,10,4,2020-06-09 20:34:11.169232
6/9/2020,Arlington,Not Hispanic or Latino,850,173,89,2020-06-09 20:34:11.169232
6/9/2020,Alleghany,Not Hispanic or Latino,133,20,14,2020-06-09 20:34:11.169232
6/9/2020,Loudoun,Not Reported,1751,6,8,2020-06-09 20:34:11.169232
6/9/2020,Fairfax,Hispanic or Latino,6318,639,50,2020-06-09 20:34:11.169232
6/9/2020,Peninsula,Not Reported,153,2,1,2020-06-09 20:34:11.169232
6/9/2020,Crater,Hispanic or Latino,60,2,1,2020-06-09 20:34:11.169232
6/9/2020,Piedmont,Not Hispanic or Latino,411,46,4,2020-06-09 20:34:11.169232
6/9/2020,Henrico,Hispanic or Latino,311,25,5,2020-06-09 20:34:11.169232
6/9/2020,Alexandria,Not Hispanic or Latino,731,110,38,2020-06-09 20:34:11.169232
6/9/2020,Central Virginia,Hispanic or Latino,21,1,1,2020-06-09 20:34:11.169232
6/9/2020,Alleghany,Not Reported,72,1,1,2020-06-09 20:34:11.169232
6/9/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-06-09 20:34:11.169232
6/9/2020,Western Tidewater,Hispanic or Latino,5,1,0,2020-06-09 20:34:11.169232
6/9/2020,Chesterfield,Not Hispanic or Latino,402,75,35,2020-06-09 20:34:11.169232
6/9/2020,Pittsylvania-Danville,Not Hispanic or Latino,80,21,3,2020-06-09 20:34:11.169232
6/9/2020,Mount Rogers,Hispanic or Latino,136,0,0,2020-06-09 20:34:11.169232
6/9/2020,Richmond,Not Reported,716,25,3,2020-06-09 20:34:11.169232
6/9/2020,Peninsula,Not Hispanic or Latino,442,106,31,2020-06-09 20:34:11.169232
6/9/2020,Chesapeake,Hispanic or Latino,56,8,1,2020-06-09 20:34:11.169232
6/9/2020,Southside,Hispanic or Latino,2,1,0,2020-06-09 20:34:11.169232
6/9/2020,Thomas Jefferson,Not Hispanic or Latino,393,72,19,2020-06-09 20:34:11.169232
6/9/2020,Norfolk,Not Hispanic or Latino,338,63,7,2020-06-09 20:34:11.169232
6/9/2020,Portsmouth,Not Reported,186,9,2,2020-06-09 20:34:11.169232
6/9/2020,Norfolk,Not Reported,158,0,0,2020-06-09 20:34:11.169232
6/9/2020,Three Rivers,Hispanic or Latino,66,0,0,2020-06-09 20:34:11.169232
6/9/2020,Eastern Shore,Not Reported,106,1,0,2020-06-09 20:34:11.169232
6/9/2020,Alleghany,Hispanic or Latino,38,4,0,2020-06-09 20:34:11.169232
6/9/2020,Henrico,Not Reported,855,25,20,2020-06-09 20:34:11.169232
6/9/2020,Henrico,Not Hispanic or Latino,980,170,109,2020-06-09 20:34:11.169232
6/9/2020,Loudoun,Not Hispanic or Latino,676,110,54,2020-06-09 20:34:11.169232
6/9/2020,Hampton,Not Reported,45,2,1,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock Rapidan,Not Hispanic or Latino,285,37,10,2020-06-09 20:34:11.169232
6/9/2020,Alexandria,Not Reported,215,5,3,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock,Not Hispanic or Latino,557,86,18,2020-06-09 20:34:11.169232
6/9/2020,Western Tidewater,Not Reported,272,3,3,2020-06-09 20:34:11.169232
6/9/2020,Cumberland Plateau,Not Reported,14,0,0,2020-06-09 20:34:11.169232
6/9/2020,Alexandria,Hispanic or Latino,1169,97,6,2020-06-09 20:34:11.169232
6/9/2020,Virginia Beach,Not Hispanic or Latino,542,92,24,2020-06-09 20:34:11.169232
6/9/2020,Prince William,Hispanic or Latino,3111,401,37,2020-06-09 20:34:11.169232
6/9/2020,Virginia Beach,Not Reported,203,6,2,2020-06-09 20:34:11.169232
6/9/2020,Central Shenandoah,Hispanic or Latino,709,43,3,2020-06-09 20:34:11.169232
6/9/2020,Pittsylvania-Danville,Hispanic or Latino,13,1,0,2020-06-09 20:34:11.169232
6/9/2020,Mount Rogers,Not Hispanic or Latino,306,45,12,2020-06-09 20:34:11.169232
6/9/2020,Piedmont,Not Reported,374,13,2,2020-06-09 20:34:11.169232
6/9/2020,Southside,Not Hispanic or Latino,108,17,12,2020-06-09 20:34:11.169232
6/9/2020,Thomas Jefferson,Hispanic or Latino,155,5,0,2020-06-09 20:34:11.169232
6/9/2020,Pittsylvania-Danville,Not Reported,17,6,0,2020-06-09 20:34:11.169232
6/9/2020,Norfolk,Hispanic or Latino,100,10,0,2020-06-09 20:34:11.169232
6/9/2020,Portsmouth,Not Hispanic or Latino,152,37,9,2020-06-09 20:34:11.169232
6/9/2020,West Piedmont,Not Reported,61,6,2,2020-06-09 20:34:11.169232
6/9/2020,Richmond,Not Hispanic or Latino,432,101,21,2020-06-09 20:34:11.169232
6/9/2020,West Piedmont,Hispanic or Latino,73,4,0,2020-06-09 20:34:11.169232
6/9/2020,Prince William,Not Reported,3620,21,4,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock Rapidan,Not Reported,425,17,2,2020-06-09 20:34:11.169232
6/9/2020,Chickahominy,Hispanic or Latino,32,2,0,2020-06-09 20:34:11.169232
6/9/2020,Lenowisco,Not Reported,20,5,2,2020-06-09 20:34:11.169232
6/9/2020,New River,Hispanic or Latino,15,1,0,2020-06-09 20:34:11.169232
6/9/2020,Crater,Not Reported,665,32,10,2020-06-09 20:34:11.169232
6/9/2020,Chickahominy,Not Reported,277,19,3,2020-06-09 20:34:11.169232
6/9/2020,Loudoun,Hispanic or Latino,747,69,5,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock Rapidan,Hispanic or Latino,602,42,5,2020-06-09 20:34:11.169232
6/9/2020,Roanoke,Not Reported,60,0,1,2020-06-09 20:34:11.169232
6/9/2020,Rappahannock,Hispanic or Latino,662,65,2,2020-06-09 20:34:11.169232
6/9/2020,Lenowisco,Hispanic or Latino,0,0,0,2020-06-09 20:34:11.169232
6/9/2020,Virginia Beach,Hispanic or Latino,70,6,1,2020-06-09 20:34:11.169232
6/9/2020,Prince William,Not Hispanic or Latino,1218,247,95,2020-06-09 20:34:11.169232
6/9/2020,Central Virginia,Not Reported,149,4,0,2020-06-09 20:34:11.169232
6/9/2020,Central Shenandoah,Not Hispanic or Latino,760,85,23,2020-06-09 20:34:11.169232
6/9/2020,Hampton,Hispanic or Latino,28,2,0,2020-06-09 20:34:11.169232
6/9/2020,Roanoke,Hispanic or Latino,64,0,0,2020-06-09 20:34:11.169232
6/10/2020,Southside,Not Reported,188,26,13,2020-06-10 20:37:28.068980
6/10/2020,Lord Fairfax,Hispanic or Latino,445,27,7,2020-06-10 20:37:28.068980
6/10/2020,Eastern Shore,Not Hispanic or Latino,922,81,37,2020-06-10 20:37:28.068980
6/10/2020,Portsmouth,Hispanic or Latino,13,2,0,2020-06-10 20:37:28.068980
6/10/2020,Fairfax,Not Reported,3243,112,107,2020-06-10 20:37:28.068980
6/10/2020,Richmond,Hispanic or Latino,540,52,2,2020-06-10 20:37:28.068980
6/10/2020,Chesapeake,Not Reported,116,7,0,2020-06-10 20:37:28.068980
6/10/2020,Arlington,Hispanic or Latino,1055,188,16,2020-06-10 20:37:28.068980
6/10/2020,West Piedmont,Not Hispanic or Latino,168,19,3,2020-06-10 20:37:28.068980
6/10/2020,Fairfax,Not Hispanic or Latino,3275,711,279,2020-06-10 20:37:28.068980
6/10/2020,Piedmont,Hispanic or Latino,29,1,1,2020-06-10 20:37:28.068980
6/10/2020,Crater,Not Hispanic or Latino,372,73,10,2020-06-10 20:37:28.068980
6/10/2020,Chickahominy,Not Hispanic or Latino,225,70,30,2020-06-10 20:37:28.068980
6/10/2020,New River,Not Hispanic or Latino,92,17,3,2020-06-10 20:37:28.068980
6/10/2020,Lord Fairfax,Not Reported,457,21,15,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock,Not Reported,691,26,1,2020-06-10 20:37:28.068980
6/10/2020,Central Shenandoah,Not Reported,248,7,5,2020-06-10 20:37:28.068980
6/10/2020,Central Virginia,Not Hispanic or Latino,80,12,3,2020-06-10 20:37:28.068980
6/10/2020,Lenowisco,Not Hispanic or Latino,25,11,2,2020-06-10 20:37:28.068980
6/10/2020,Cumberland Plateau,Not Hispanic or Latino,21,2,0,2020-06-10 20:37:28.068980
6/10/2020,Western Tidewater,Not Hispanic or Latino,399,74,43,2020-06-10 20:37:28.068980
6/10/2020,New River,Not Reported,38,0,0,2020-06-10 20:37:28.068980
6/10/2020,Chesterfield,Not Reported,1340,19,19,2020-06-10 20:37:28.068980
6/10/2020,Chesterfield,Hispanic or Latino,403,10,1,2020-06-10 20:37:28.068980
6/10/2020,Hampton,Not Hispanic or Latino,157,32,4,2020-06-10 20:37:28.068980
6/10/2020,Chesapeake,Not Hispanic or Latino,440,82,14,2020-06-10 20:37:28.068980
6/10/2020,Peninsula,Hispanic or Latino,101,10,1,2020-06-10 20:37:28.068980
6/10/2020,Arlington,Not Reported,356,32,17,2020-06-10 20:37:28.068980
6/10/2020,Roanoke,Not Hispanic or Latino,80,10,9,2020-06-10 20:37:28.068980
6/10/2020,Lord Fairfax,Not Hispanic or Latino,760,88,38,2020-06-10 20:37:28.068980
6/10/2020,Eastern Shore,Hispanic or Latino,213,6,3,2020-06-10 20:37:28.068980
6/10/2020,Mount Rogers,Not Reported,25,0,0,2020-06-10 20:37:28.068980
6/10/2020,Three Rivers,Not Hispanic or Latino,321,31,7,2020-06-10 20:37:28.068980
6/10/2020,Thomas Jefferson,Not Reported,105,0,0,2020-06-10 20:37:28.068980
6/10/2020,Three Rivers,Not Reported,182,11,2,2020-06-10 20:37:28.068980
6/10/2020,Arlington,Not Hispanic or Latino,869,174,88,2020-06-10 20:37:28.068980
6/10/2020,Alleghany,Not Hispanic or Latino,132,20,13,2020-06-10 20:37:28.068980
6/10/2020,Loudoun,Not Reported,1741,8,8,2020-06-10 20:37:28.068980
6/10/2020,Fairfax,Hispanic or Latino,6353,646,50,2020-06-10 20:37:28.068980
6/10/2020,Peninsula,Not Reported,148,2,1,2020-06-10 20:37:28.068980
6/10/2020,Crater,Hispanic or Latino,62,2,1,2020-06-10 20:37:28.068980
6/10/2020,Piedmont,Not Hispanic or Latino,427,47,4,2020-06-10 20:37:28.068980
6/10/2020,Henrico,Hispanic or Latino,336,25,5,2020-06-10 20:37:28.068980
6/10/2020,Alexandria,Not Hispanic or Latino,747,110,38,2020-06-10 20:37:28.068980
6/10/2020,Central Virginia,Hispanic or Latino,21,1,1,2020-06-10 20:37:28.068980
6/10/2020,Alleghany,Not Reported,73,1,1,2020-06-10 20:37:28.068980
6/10/2020,Cumberland Plateau,Hispanic or Latino,0,0,0,2020-06-10 20:37:28.068980
6/10/2020,Western Tidewater,Hispanic or Latino,5,1,0,2020-06-10 20:37:28.068980
6/10/2020,Chesterfield,Not Hispanic or Latino,406,75,35,2020-06-10 20:37:28.068980
6/10/2020,Pittsylvania-Danville,Not Hispanic or Latino,84,21,3,2020-06-10 20:37:28.068980
6/10/2020,Mount Rogers,Hispanic or Latino,137,0,0,2020-06-10 20:37:28.068980
6/10/2020,Richmond,Not Reported,702,27,3,2020-06-10 20:37:28.068980
6/10/2020,Peninsula,Not Hispanic or Latino,446,108,31,2020-06-10 20:37:28.068980
6/10/2020,Chesapeake,Hispanic or Latino,61,8,1,2020-06-10 20:37:28.068980
6/10/2020,Southside,Hispanic or Latino,2,1,0,2020-06-10 20:37:28.068980
6/10/2020,Thomas Jefferson,Not Hispanic or Latino,394,72,19,2020-06-10 20:37:28.068980
6/10/2020,Norfolk,Not Hispanic or Latino,342,63,7,2020-06-10 20:37:28.068980
6/10/2020,Portsmouth,Not Reported,186,8,1,2020-06-10 20:37:28.068980
6/10/2020,Norfolk,Not Reported,151,0,0,2020-06-10 20:37:28.068980
6/10/2020,Three Rivers,Hispanic or Latino,66,0,0,2020-06-10 20:37:28.068980
6/10/2020,Eastern Shore,Not Reported,106,1,0,2020-06-10 20:37:28.068980
6/10/2020,Alleghany,Hispanic or Latino,38,4,0,2020-06-10 20:37:28.068980
6/10/2020,Henrico,Not Reported,821,28,20,2020-06-10 20:37:28.068980
6/10/2020,Henrico,Not Hispanic or Latino,1005,170,110,2020-06-10 20:37:28.068980
6/10/2020,Loudoun,Not Hispanic or Latino,678,112,54,2020-06-10 20:37:28.068980
6/10/2020,Hampton,Not Reported,45,2,1,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock Rapidan,Not Hispanic or Latino,288,37,11,2020-06-10 20:37:28.068980
6/10/2020,Alexandria,Not Reported,201,5,3,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock,Not Hispanic or Latino,563,87,19,2020-06-10 20:37:28.068980
6/10/2020,Western Tidewater,Not Reported,272,2,2,2020-06-10 20:37:28.068980
6/10/2020,Cumberland Plateau,Not Reported,14,0,0,2020-06-10 20:37:28.068980
6/10/2020,Alexandria,Hispanic or Latino,1177,101,6,2020-06-10 20:37:28.068980
6/10/2020,Virginia Beach,Not Hispanic or Latino,559,94,24,2020-06-10 20:37:28.068980
6/10/2020,Prince William,Hispanic or Latino,3169,409,35,2020-06-10 20:37:28.068980
6/10/2020,Virginia Beach,Not Reported,190,5,2,2020-06-10 20:37:28.068980
6/10/2020,Central Shenandoah,Hispanic or Latino,714,43,3,2020-06-10 20:37:28.068980
6/10/2020,Pittsylvania-Danville,Hispanic or Latino,14,1,0,2020-06-10 20:37:28.068980
6/10/2020,Mount Rogers,Not Hispanic or Latino,320,46,18,2020-06-10 20:37:28.068980
6/10/2020,Piedmont,Not Reported,371,13,2,2020-06-10 20:37:28.068980
6/10/2020,Southside,Not Hispanic or Latino,109,17,13,2020-06-10 20:37:28.068980
6/10/2020,Thomas Jefferson,Hispanic or Latino,156,5,0,2020-06-10 20:37:28.068980
6/10/2020,Pittsylvania-Danville,Not Reported,17,6,0,2020-06-10 20:37:28.068980
6/10/2020,Norfolk,Hispanic or Latino,112,11,0,2020-06-10 20:37:28.068980
6/10/2020,Portsmouth,Not Hispanic or Latino,155,39,10,2020-06-10 20:37:28.068980
6/10/2020,West Piedmont,Not Reported,57,4,2,2020-06-10 20:37:28.068980
6/10/2020,Richmond,Not Hispanic or Latino,444,101,21,2020-06-10 20:37:28.068980
6/10/2020,West Piedmont,Hispanic or Latino,78,5,0,2020-06-10 20:37:28.068980
6/10/2020,Prince William,Not Reported,3590,21,2,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock Rapidan,Not Reported,428,17,2,2020-06-10 20:37:28.068980
6/10/2020,Chickahominy,Hispanic or Latino,33,2,0,2020-06-10 20:37:28.068980
6/10/2020,Lenowisco,Not Reported,20,5,2,2020-06-10 20:37:28.068980
6/10/2020,New River,Hispanic or Latino,16,1,0,2020-06-10 20:37:28.068980
6/10/2020,Crater,Not Reported,692,32,10,2020-06-10 20:37:28.068980
6/10/2020,Chickahominy,Not Reported,275,23,4,2020-06-10 20:37:28.068980
6/10/2020,Loudoun,Hispanic or Latino,761,76,5,2020-06-10 20:37:28.068980
6/10/2020,Rappahannock Rapidan,Hispanic or Latino,603,42,5,2020-06-10 20:37:28.068980
6/10/2020,Roanoke,Not Reported,63,0,1,2020-06-10 20:37:28.068980
