age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
20-29,Fairfax,2451,3,86,2020-07-22 00:00:00
30-39,Fairfax,2912,6,199,2020-07-22 00:00:00
40-49,Fairfax,2799,10,274,2020-07-22 00:00:00
50-59,Fairfax,2362,32,316,2020-07-22 00:00:00
60-69,Fairfax,1497,64,333,2020-07-22 00:00:00
70-79,Fairfax,697,115,248,2020-07-22 00:00:00
80+,Fairfax,822,293,302,2020-07-22 00:00:00
Missing,Fairfax,165,0,5,2020-07-22 00:00:00
0-9,Hampton,21,0,0,2020-07-22 00:00:00
10-19,Hampton,50,0,0,2020-07-22 00:00:00
20-29,Hampton,205,0,3,2020-07-22 00:00:00
30-39,Hampton,141,0,3,2020-07-22 00:00:00
40-49,Hampton,115,0,6,2020-07-22 00:00:00
50-59,Hampton,93,1,10,2020-07-22 00:00:00
60-69,Hampton,72,2,11,2020-07-22 00:00:00
70-79,Hampton,38,0,8,2020-07-22 00:00:00
80+,Hampton,18,1,2,2020-07-22 00:00:00
Missing,Hampton,19,0,0,2020-07-22 00:00:00
0-9,Henrico,118,0,2,2020-07-22 00:00:00
10-19,Henrico,235,0,4,2020-07-22 00:00:00
20-29,Henrico,473,0,15,2020-07-22 00:00:00
30-39,Henrico,535,0,20,2020-07-22 00:00:00
40-49,Henrico,452,2,30,2020-07-22 00:00:00
50-59,Henrico,391,9,48,2020-07-22 00:00:00
60-69,Henrico,312,34,56,2020-07-22 00:00:00
70-79,Henrico,230,43,51,2020-07-22 00:00:00
80+,Henrico,330,88,68,2020-07-22 00:00:00
Missing,Henrico,36,1,1,2020-07-22 00:00:00
0-9,Lenowisco,6,0,0,2020-07-22 00:00:00
10-19,Lenowisco,15,0,0,2020-07-22 00:00:00
20-29,Lenowisco,20,0,0,2020-07-22 00:00:00
30-39,Lenowisco,15,1,1,2020-07-22 00:00:00
40-49,Lenowisco,15,0,2,2020-07-22 00:00:00
50-59,Lenowisco,30,1,6,2020-07-22 00:00:00
60-69,Lenowisco,19,2,5,2020-07-22 00:00:00
70-79,Lenowisco,18,1,7,2020-07-22 00:00:00
80+,Lenowisco,7,0,1,2020-07-22 00:00:00
Missing,Lenowisco,0,0,0,2020-07-22 00:00:00
0-9,Lord Fairfax,72,0,2,2020-07-22 00:00:00
10-19,Lord Fairfax,175,0,2,2020-07-22 00:00:00
20-29,Lord Fairfax,401,0,5,2020-07-22 00:00:00
30-39,Lord Fairfax,392,1,11,2020-07-22 00:00:00
40-49,Lord Fairfax,368,1,18,2020-07-22 00:00:00
50-59,Lord Fairfax,379,3,31,2020-07-22 00:00:00
60-69,Lord Fairfax,253,14,52,2020-07-22 00:00:00
70-79,Lord Fairfax,157,18,44,2020-07-22 00:00:00
80+,Lord Fairfax,171,45,40,2020-07-22 00:00:00
Missing,Lord Fairfax,2,0,0,2020-07-22 00:00:00
0-9,Loudoun,175,0,4,2020-07-22 00:00:00
10-19,Loudoun,660,0,0,2020-07-22 00:00:00
20-29,Loudoun,780,0,10,2020-07-22 00:00:00
30-39,Loudoun,806,0,29,2020-07-22 00:00:00
40-49,Loudoun,886,1,59,2020-07-22 00:00:00
50-59,Loudoun,720,3,62,2020-07-22 00:00:00
60-69,Loudoun,275,7,55,2020-07-22 00:00:00
70-79,Loudoun,152,18,50,2020-07-22 00:00:00
80+,Loudoun,216,76,55,2020-07-22 00:00:00
Missing,Loudoun,68,1,0,2020-07-22 00:00:00
0-9,Mount Rogers,40,0,1,2020-07-22 00:00:00
10-19,Mount Rogers,74,0,0,2020-07-22 00:00:00
20-29,Mount Rogers,162,0,0,2020-07-22 00:00:00
30-39,Mount Rogers,143,0,4,2020-07-22 00:00:00
40-49,Mount Rogers,144,1,5,2020-07-22 00:00:00
50-59,Mount Rogers,141,1,10,2020-07-22 00:00:00
60-69,Mount Rogers,121,1,15,2020-07-22 00:00:00
70-79,Mount Rogers,84,13,29,2020-07-22 00:00:00
80+,Mount Rogers,87,21,33,2020-07-22 00:00:00
Missing,Mount Rogers,1,0,0,2020-07-22 00:00:00
0-9,New River,8,0,0,2020-07-22 00:00:00
10-19,New River,41,0,0,2020-07-22 00:00:00
20-29,New River,101,0,0,2020-07-22 00:00:00
30-39,New River,41,0,1,2020-07-22 00:00:00
40-49,New River,50,0,3,2020-07-22 00:00:00
50-59,New River,45,0,4,2020-07-22 00:00:00
60-69,New River,30,0,5,2020-07-22 00:00:00
70-79,New River,21,4,8,2020-07-22 00:00:00
80+,New River,14,2,4,2020-07-22 00:00:00
Missing,New River,0,0,0,2020-07-22 00:00:00
0-9,Norfolk,78,0,2,2020-07-22 00:00:00
10-19,Norfolk,125,0,1,2020-07-22 00:00:00
20-29,Norfolk,779,0,7,2020-07-22 00:00:00
30-39,Norfolk,469,1,16,2020-07-22 00:00:00
40-49,Norfolk,299,1,17,2020-07-22 00:00:00
50-59,Norfolk,252,4,26,2020-07-22 00:00:00
60-69,Norfolk,214,3,36,2020-07-22 00:00:00
70-79,Norfolk,85,6,30,2020-07-22 00:00:00
80+,Norfolk,59,5,13,2020-07-22 00:00:00
Missing,Norfolk,29,0,1,2020-07-22 00:00:00
0-9,Peninsula,79,0,0,2020-07-22 00:00:00
10-19,Peninsula,127,0,1,2020-07-22 00:00:00
20-29,Peninsula,539,0,1,2020-07-22 00:00:00
30-39,Peninsula,383,1,8,2020-07-22 00:00:00
40-49,Peninsula,310,1,14,2020-07-22 00:00:00
50-59,Peninsula,257,3,24,2020-07-22 00:00:00
60-69,Peninsula,182,4,34,2020-07-22 00:00:00
70-79,Peninsula,122,12,40,2020-07-22 00:00:00
80+,Peninsula,82,18,29,2020-07-22 00:00:00
Missing,Peninsula,23,0,0,2020-07-22 00:00:00
0-9,Piedmont,25,0,0,2020-07-22 00:00:00
10-19,Piedmont,39,0,0,2020-07-22 00:00:00
20-29,Piedmont,186,0,2,2020-07-22 00:00:00
30-39,Piedmont,226,0,5,2020-07-22 00:00:00
40-49,Piedmont,211,0,11,2020-07-22 00:00:00
50-59,Piedmont,208,1,25,2020-07-22 00:00:00
60-69,Piedmont,157,2,23,2020-07-22 00:00:00
70-79,Piedmont,82,4,26,2020-07-22 00:00:00
80+,Piedmont,56,12,23,2020-07-22 00:00:00
Missing,Piedmont,2,0,0,2020-07-22 00:00:00
0-9,Pittsylvania-Danville,15,0,0,2020-07-22 00:00:00
10-19,Pittsylvania-Danville,31,0,0,2020-07-22 00:00:00
20-29,Pittsylvania-Danville,58,0,0,2020-07-22 00:00:00
30-39,Pittsylvania-Danville,62,0,1,2020-07-22 00:00:00
40-49,Pittsylvania-Danville,85,1,8,2020-07-22 00:00:00
50-59,Pittsylvania-Danville,91,0,16,2020-07-22 00:00:00
60-69,Pittsylvania-Danville,59,1,10,2020-07-22 00:00:00
70-79,Pittsylvania-Danville,33,1,13,2020-07-22 00:00:00
80+,Pittsylvania-Danville,28,2,8,2020-07-22 00:00:00
Missing,Pittsylvania-Danville,0,0,0,2020-07-22 00:00:00
0-9,Portsmouth,36,0,3,2020-07-22 00:00:00
10-19,Portsmouth,65,0,0,2020-07-22 00:00:00
20-29,Portsmouth,261,0,11,2020-07-22 00:00:00
30-39,Portsmouth,228,1,9,2020-07-22 00:00:00
40-49,Portsmouth,146,0,11,2020-07-22 00:00:00
50-59,Portsmouth,150,2,23,2020-07-22 00:00:00
60-69,Portsmouth,106,6,23,2020-07-22 00:00:00
70-79,Portsmouth,53,6,15,2020-07-22 00:00:00
80+,Portsmouth,20,6,8,2020-07-22 00:00:00
Missing,Portsmouth,20,0,0,2020-07-22 00:00:00
0-9,Prince William,395,0,10,2020-07-22 00:00:00
10-19,Prince William,890,0,8,2020-07-22 00:00:00
20-29,Prince William,1829,0,55,2020-07-22 00:00:00
30-39,Prince William,1916,2,97,2020-07-22 00:00:00
40-49,Prince William,2121,8,172,2020-07-22 00:00:00
50-59,Prince William,1565,15,204,2020-07-22 00:00:00
60-69,Prince William,833,45,175,2020-07-22 00:00:00
70-79,Prince William,335,48,102,2020-07-22 00:00:00
80+,Prince William,249,74,83,2020-07-22 00:00:00
Missing,Prince William,154,0,3,2020-07-22 00:00:00
0-9,Rappahannock,128,0,2,2020-07-22 00:00:00
10-19,Rappahannock,290,0,3,2020-07-22 00:00:00
20-29,Rappahannock,507,0,14,2020-07-22 00:00:00
30-39,Rappahannock,548,0,25,2020-07-22 00:00:00
40-49,Rappahannock,518,2,46,2020-07-22 00:00:00
50-59,Rappahannock,450,4,51,2020-07-22 00:00:00
60-69,Rappahannock,238,7,47,2020-07-22 00:00:00
70-79,Rappahannock,122,16,37,2020-07-22 00:00:00
80+,Rappahannock,99,19,35,2020-07-22 00:00:00
Missing,Rappahannock,23,0,0,2020-07-22 00:00:00
0-9,Rappahannock Rapidan,88,0,1,2020-07-22 00:00:00
10-19,Rappahannock Rapidan,152,0,3,2020-07-22 00:00:00
20-29,Rappahannock Rapidan,325,0,6,2020-07-22 00:00:00
30-39,Rappahannock Rapidan,351,1,18,2020-07-22 00:00:00
40-49,Rappahannock Rapidan,331,2,21,2020-07-22 00:00:00
50-59,Rappahannock Rapidan,256,2,30,2020-07-22 00:00:00
60-69,Rappahannock Rapidan,139,4,18,2020-07-22 00:00:00
70-79,Rappahannock Rapidan,48,8,14,2020-07-22 00:00:00
80+,Rappahannock Rapidan,30,8,17,2020-07-22 00:00:00
Missing,Rappahannock Rapidan,12,0,0,2020-07-22 00:00:00
0-9,Richmond,115,0,6,2020-07-22 00:00:00
10-19,Richmond,216,0,2,2020-07-22 00:00:00
20-29,Richmond,605,0,16,2020-07-22 00:00:00
30-39,Richmond,569,1,30,2020-07-22 00:00:00
40-49,Richmond,427,3,31,2020-07-22 00:00:00
50-59,Richmond,323,1,57,2020-07-22 00:00:00
60-69,Richmond,228,7,56,2020-07-22 00:00:00
70-79,Richmond,98,14,42,2020-07-22 00:00:00
80+,Richmond,40,9,21,2020-07-22 00:00:00
Missing,Richmond,22,0,0,2020-07-22 00:00:00
0-9,Roanoke,20,0,0,2020-07-22 00:00:00
10-19,Roanoke,70,0,0,2020-07-22 00:00:00
20-29,Roanoke,152,0,3,2020-07-22 00:00:00
30-39,Roanoke,157,0,1,2020-07-22 00:00:00
40-49,Roanoke,102,0,1,2020-07-22 00:00:00
50-59,Roanoke,65,0,1,2020-07-22 00:00:00
60-69,Roanoke,47,0,3,2020-07-22 00:00:00
70-79,Roanoke,19,1,3,2020-07-22 00:00:00
80+,Roanoke,43,9,3,2020-07-22 00:00:00
Missing,Roanoke,4,0,0,2020-07-22 00:00:00
0-9,Southside,7,0,0,2020-07-22 00:00:00
10-19,Southside,18,0,0,2020-07-22 00:00:00
20-29,Southside,71,0,2,2020-07-22 00:00:00
30-39,Southside,88,0,4,2020-07-22 00:00:00
40-49,Southside,69,0,6,2020-07-22 00:00:00
50-59,Southside,81,0,10,2020-07-22 00:00:00
60-69,Southside,69,5,15,2020-07-22 00:00:00
70-79,Southside,68,14,11,2020-07-22 00:00:00
80+,Southside,83,13,12,2020-07-22 00:00:00
Missing,Southside,0,0,0,2020-07-22 00:00:00
0-9,Thomas Jefferson,67,0,1,2020-07-22 00:00:00
10-19,Thomas Jefferson,108,0,2,2020-07-22 00:00:00
20-29,Thomas Jefferson,249,0,2,2020-07-22 00:00:00
30-39,Thomas Jefferson,275,0,10,2020-07-22 00:00:00
40-49,Thomas Jefferson,219,0,15,2020-07-22 00:00:00
50-59,Thomas Jefferson,178,2,16,2020-07-22 00:00:00
60-69,Thomas Jefferson,127,4,26,2020-07-22 00:00:00
70-79,Thomas Jefferson,104,5,23,2020-07-22 00:00:00
80+,Thomas Jefferson,129,19,29,2020-07-22 00:00:00
Missing,Thomas Jefferson,2,0,0,2020-07-22 00:00:00
0-9,Three Rivers,13,0,1,2020-07-22 00:00:00
10-19,Three Rivers,43,0,0,2020-07-22 00:00:00
20-29,Three Rivers,160,0,4,2020-07-22 00:00:00
30-39,Three Rivers,189,0,3,2020-07-22 00:00:00
40-49,Three Rivers,176,2,12,2020-07-22 00:00:00
50-59,Three Rivers,132,0,10,2020-07-22 00:00:00
60-69,Three Rivers,93,0,14,2020-07-22 00:00:00
70-79,Three Rivers,44,5,9,2020-07-22 00:00:00
80+,Three Rivers,41,5,8,2020-07-22 00:00:00
Missing,Three Rivers,6,0,0,2020-07-22 00:00:00
0-9,Virginia Beach,90,0,0,2020-07-22 00:00:00
10-19,Virginia Beach,180,0,0,2020-07-22 00:00:00
20-29,Virginia Beach,817,0,9,2020-07-22 00:00:00
30-39,Virginia Beach,563,0,15,2020-07-22 00:00:00
40-49,Virginia Beach,401,1,20,2020-07-22 00:00:00
50-59,Virginia Beach,340,1,20,2020-07-22 00:00:00
60-69,Virginia Beach,252,3,32,2020-07-22 00:00:00
70-79,Virginia Beach,134,10,33,2020-07-22 00:00:00
80+,Virginia Beach,125,24,41,2020-07-22 00:00:00
Missing,Virginia Beach,66,0,0,2020-07-22 00:00:00
0-9,Western Tidewater,21,0,0,2020-07-22 00:00:00
10-19,Western Tidewater,65,0,0,2020-07-22 00:00:00
20-29,Western Tidewater,190,0,4,2020-07-22 00:00:00
30-39,Western Tidewater,214,1,13,2020-07-22 00:00:00
40-49,Western Tidewater,188,2,6,2020-07-22 00:00:00
50-59,Western Tidewater,221,4,16,2020-07-22 00:00:00
60-69,Western Tidewater,191,8,20,2020-07-22 00:00:00
70-79,Western Tidewater,118,19,24,2020-07-22 00:00:00
80+,Western Tidewater,161,35,30,2020-07-22 00:00:00
Missing,Western Tidewater,17,0,0,2020-07-22 00:00:00
0-9,West Piedmont,24,0,1,2020-07-22 00:00:00
10-19,West Piedmont,88,0,0,2020-07-22 00:00:00
20-29,West Piedmont,122,0,2,2020-07-22 00:00:00
30-39,West Piedmont,113,0,3,2020-07-22 00:00:00
40-49,West Piedmont,122,2,11,2020-07-22 00:00:00
50-59,West Piedmont,143,1,22,2020-07-22 00:00:00
60-69,West Piedmont,80,0,12,2020-07-22 00:00:00
70-79,West Piedmont,37,4,16,2020-07-22 00:00:00
80+,West Piedmont,28,2,18,2020-07-22 00:00:00
Missing,West Piedmont,0,0,0,2020-07-22 00:00:00
0-9,Alexandria,143,0,2,2020-07-21 00:00:00
10-19,Alexandria,193,0,4,2020-07-21 00:00:00
20-29,Alexandria,428,1,10,2020-07-21 00:00:00
30-39,Alexandria,591,0,32,2020-07-21 00:00:00
40-49,Alexandria,471,0,41,2020-07-21 00:00:00
50-59,Alexandria,334,10,52,2020-07-21 00:00:00
60-69,Alexandria,215,2,48,2020-07-21 00:00:00
70-79,Alexandria,102,18,38,2020-07-21 00:00:00
80+,Alexandria,94,25,28,2020-07-21 00:00:00
Missing,Alexandria,11,0,0,2020-07-21 00:00:00
0-9,Alleghany,16,0,0,2020-07-21 00:00:00
10-19,Alleghany,89,0,0,2020-07-21 00:00:00
20-29,Alleghany,130,0,1,2020-07-21 00:00:00
30-39,Alleghany,100,0,2,2020-07-21 00:00:00
40-49,Alleghany,99,0,2,2020-07-21 00:00:00
50-59,Alleghany,98,1,6,2020-07-21 00:00:00
60-69,Alleghany,72,1,8,2020-07-21 00:00:00
70-79,Alleghany,68,7,8,2020-07-21 00:00:00
80+,Alleghany,43,6,10,2020-07-21 00:00:00
Missing,Alleghany,2,0,0,2020-07-21 00:00:00
0-9,Arlington,56,0,2,2020-07-21 00:00:00
10-19,Arlington,128,0,5,2020-07-21 00:00:00
20-29,Arlington,521,0,22,2020-07-21 00:00:00
30-39,Arlington,501,0,43,2020-07-21 00:00:00
40-49,Arlington,457,8,51,2020-07-21 00:00:00
50-59,Arlington,402,6,68,2020-07-21 00:00:00
60-69,Arlington,294,19,82,2020-07-21 00:00:00
70-79,Arlington,177,33,73,2020-07-21 00:00:00
80+,Arlington,203,69,84,2020-07-21 00:00:00
Missing,Arlington,11,0,1,2020-07-21 00:00:00
0-9,Central Shenandoah,66,0,0,2020-07-21 00:00:00
10-19,Central Shenandoah,144,0,1,2020-07-21 00:00:00
20-29,Central Shenandoah,471,0,10,2020-07-21 00:00:00
30-39,Central Shenandoah,366,0,7,2020-07-21 00:00:00
40-49,Central Shenandoah,398,0,15,2020-07-21 00:00:00
50-59,Central Shenandoah,419,4,34,2020-07-21 00:00:00
60-69,Central Shenandoah,300,14,47,2020-07-21 00:00:00
70-79,Central Shenandoah,153,13,44,2020-07-21 00:00:00
80+,Central Shenandoah,125,18,34,2020-07-21 00:00:00
Missing,Central Shenandoah,1,0,0,2020-07-21 00:00:00
0-9,Central Virginia,12,0,0,2020-07-21 00:00:00
10-19,Central Virginia,83,0,1,2020-07-21 00:00:00
20-29,Central Virginia,159,0,2,2020-07-21 00:00:00
30-39,Central Virginia,93,0,1,2020-07-21 00:00:00
40-49,Central Virginia,92,0,1,2020-07-21 00:00:00
50-59,Central Virginia,96,2,2,2020-07-21 00:00:00
60-69,Central Virginia,68,2,4,2020-07-21 00:00:00
70-79,Central Virginia,37,2,4,2020-07-21 00:00:00
80+,Central Virginia,29,0,3,2020-07-21 00:00:00
Missing,Central Virginia,1,0,0,2020-07-21 00:00:00
0-9,Chesapeake,52,0,1,2020-07-21 00:00:00
10-19,Chesapeake,115,0,1,2020-07-21 00:00:00
20-29,Chesapeake,371,0,4,2020-07-21 00:00:00
30-39,Chesapeake,351,0,13,2020-07-21 00:00:00
40-49,Chesapeake,263,1,30,2020-07-21 00:00:00
50-59,Chesapeake,250,1,31,2020-07-21 00:00:00
60-69,Chesapeake,165,5,33,2020-07-21 00:00:00
70-79,Chesapeake,101,3,32,2020-07-21 00:00:00
80+,Chesapeake,83,14,28,2020-07-21 00:00:00
Missing,Chesapeake,39,0,1,2020-07-21 00:00:00
0-9,Chesterfield,137,0,1,2020-07-21 00:00:00
10-19,Chesterfield,360,0,0,2020-07-21 00:00:00
20-29,Chesterfield,665,0,10,2020-07-21 00:00:00
30-39,Chesterfield,729,0,14,2020-07-21 00:00:00
40-49,Chesterfield,665,3,26,2020-07-21 00:00:00
50-59,Chesterfield,511,4,45,2020-07-21 00:00:00
60-69,Chesterfield,333,12,55,2020-07-21 00:00:00
70-79,Chesterfield,151,22,31,2020-07-21 00:00:00
80+,Chesterfield,158,47,35,2020-07-21 00:00:00
Missing,Chesterfield,101,0,0,2020-07-21 00:00:00
0-9,Chickahominy,20,0,0,2020-07-21 00:00:00
10-19,Chickahominy,60,0,0,2020-07-21 00:00:00
20-29,Chickahominy,123,0,1,2020-07-21 00:00:00
30-39,Chickahominy,111,0,3,2020-07-21 00:00:00
40-49,Chickahominy,107,1,12,2020-07-21 00:00:00
50-59,Chickahominy,137,1,23,2020-07-21 00:00:00
60-69,Chickahominy,91,6,22,2020-07-21 00:00:00
70-79,Chickahominy,65,6,21,2020-07-21 00:00:00
80+,Chickahominy,83,26,34,2020-07-21 00:00:00
Missing,Chickahominy,15,0,0,2020-07-21 00:00:00
0-9,Crater,31,0,1,2020-07-21 00:00:00
10-19,Crater,81,0,0,2020-07-21 00:00:00
20-29,Crater,291,0,9,2020-07-21 00:00:00
30-39,Crater,321,0,9,2020-07-21 00:00:00
40-49,Crater,260,1,18,2020-07-21 00:00:00
50-59,Crater,323,3,36,2020-07-21 00:00:00
60-69,Crater,267,16,53,2020-07-21 00:00:00
70-79,Crater,160,18,40,2020-07-21 00:00:00
80+,Crater,125,12,25,2020-07-21 00:00:00
Missing,Crater,14,0,0,2020-07-21 00:00:00
0-9,Cumberland Plateau,4,0,0,2020-07-21 00:00:00
10-19,Cumberland Plateau,27,0,0,2020-07-21 00:00:00
20-29,Cumberland Plateau,18,0,0,2020-07-21 00:00:00
30-39,Cumberland Plateau,22,0,1,2020-07-21 00:00:00
40-49,Cumberland Plateau,24,0,1,2020-07-21 00:00:00
50-59,Cumberland Plateau,18,0,2,2020-07-21 00:00:00
60-69,Cumberland Plateau,16,0,2,2020-07-21 00:00:00
70-79,Cumberland Plateau,9,0,1,2020-07-21 00:00:00
80+,Cumberland Plateau,5,0,3,2020-07-21 00:00:00
Missing,Cumberland Plateau,0,0,0,2020-07-21 00:00:00
0-9,Eastern Shore,21,0,2,2020-07-21 00:00:00
10-19,Eastern Shore,61,0,1,2020-07-21 00:00:00
20-29,Eastern Shore,200,0,6,2020-07-21 00:00:00
30-39,Eastern Shore,241,0,9,2020-07-21 00:00:00
40-49,Eastern Shore,252,2,12,2020-07-21 00:00:00
50-59,Eastern Shore,278,5,20,2020-07-21 00:00:00
60-69,Eastern Shore,180,8,29,2020-07-21 00:00:00
70-79,Eastern Shore,49,9,17,2020-07-21 00:00:00
80+,Eastern Shore,50,19,22,2020-07-21 00:00:00
Missing,Eastern Shore,6,0,0,2020-07-21 00:00:00
0-9,Fairfax,527,0,20,2020-07-21 00:00:00
10-19,Fairfax,968,0,29,2020-07-21 00:00:00
20-29,Fairfax,2428,3,86,2020-07-21 00:00:00
30-39,Fairfax,2902,6,199,2020-07-21 00:00:00
40-49,Fairfax,2776,10,274,2020-07-21 00:00:00
50-59,Fairfax,2348,32,316,2020-07-21 00:00:00
60-69,Fairfax,1490,64,333,2020-07-21 00:00:00
70-79,Fairfax,697,115,249,2020-07-21 00:00:00
80+,Fairfax,820,293,302,2020-07-21 00:00:00
Missing,Fairfax,165,0,5,2020-07-21 00:00:00
0-9,Hampton,21,0,0,2020-07-21 00:00:00
10-19,Hampton,49,0,0,2020-07-21 00:00:00
20-29,Hampton,199,0,3,2020-07-21 00:00:00
30-39,Hampton,137,0,3,2020-07-21 00:00:00
40-49,Hampton,113,0,6,2020-07-21 00:00:00
50-59,Hampton,90,1,10,2020-07-21 00:00:00
60-69,Hampton,71,2,11,2020-07-21 00:00:00
70-79,Hampton,37,0,8,2020-07-21 00:00:00
80+,Hampton,16,1,2,2020-07-21 00:00:00
Missing,Hampton,18,0,0,2020-07-21 00:00:00
0-9,Henrico,118,0,2,2020-07-21 00:00:00
10-19,Henrico,233,0,4,2020-07-21 00:00:00
20-29,Henrico,468,0,15,2020-07-21 00:00:00
30-39,Henrico,532,0,20,2020-07-21 00:00:00
40-49,Henrico,447,2,28,2020-07-21 00:00:00
50-59,Henrico,391,9,47,2020-07-21 00:00:00
60-69,Henrico,314,34,55,2020-07-21 00:00:00
70-79,Henrico,230,43,51,2020-07-21 00:00:00
80+,Henrico,330,88,68,2020-07-21 00:00:00
Missing,Henrico,34,1,1,2020-07-21 00:00:00
0-9,Lenowisco,6,0,0,2020-07-21 00:00:00
10-19,Lenowisco,12,0,0,2020-07-21 00:00:00
20-29,Lenowisco,17,0,0,2020-07-21 00:00:00
30-39,Lenowisco,12,1,1,2020-07-21 00:00:00
40-49,Lenowisco,15,0,2,2020-07-21 00:00:00
50-59,Lenowisco,30,1,6,2020-07-21 00:00:00
60-69,Lenowisco,17,2,5,2020-07-21 00:00:00
70-79,Lenowisco,17,1,7,2020-07-21 00:00:00
80+,Lenowisco,7,0,1,2020-07-21 00:00:00
Missing,Lenowisco,0,0,0,2020-07-21 00:00:00
0-9,Lord Fairfax,70,0,2,2020-07-21 00:00:00
10-19,Lord Fairfax,173,0,2,2020-07-21 00:00:00
20-29,Lord Fairfax,398,0,5,2020-07-21 00:00:00
30-39,Lord Fairfax,382,1,11,2020-07-21 00:00:00
40-49,Lord Fairfax,364,1,18,2020-07-21 00:00:00
50-59,Lord Fairfax,377,3,31,2020-07-21 00:00:00
60-69,Lord Fairfax,255,14,52,2020-07-21 00:00:00
70-79,Lord Fairfax,155,18,44,2020-07-21 00:00:00
80+,Lord Fairfax,168,45,40,2020-07-21 00:00:00
Missing,Lord Fairfax,2,0,0,2020-07-21 00:00:00
0-9,Loudoun,171,0,4,2020-07-21 00:00:00
10-19,Loudoun,652,0,0,2020-07-21 00:00:00
20-29,Loudoun,769,0,10,2020-07-21 00:00:00
30-39,Loudoun,802,0,29,2020-07-21 00:00:00
40-49,Loudoun,878,1,59,2020-07-21 00:00:00
50-59,Loudoun,714,3,62,2020-07-21 00:00:00
60-69,Loudoun,273,7,55,2020-07-21 00:00:00
70-79,Loudoun,153,18,50,2020-07-21 00:00:00
80+,Loudoun,215,76,55,2020-07-21 00:00:00
Missing,Loudoun,68,1,0,2020-07-21 00:00:00
0-9,Mount Rogers,40,0,1,2020-07-21 00:00:00
10-19,Mount Rogers,71,0,0,2020-07-21 00:00:00
20-29,Mount Rogers,160,0,0,2020-07-21 00:00:00
30-39,Mount Rogers,143,0,4,2020-07-21 00:00:00
40-49,Mount Rogers,141,1,5,2020-07-21 00:00:00
50-59,Mount Rogers,141,1,10,2020-07-21 00:00:00
60-69,Mount Rogers,119,0,14,2020-07-21 00:00:00
70-79,Mount Rogers,83,13,29,2020-07-21 00:00:00
80+,Mount Rogers,85,21,32,2020-07-21 00:00:00
Missing,Mount Rogers,1,0,0,2020-07-21 00:00:00
0-9,New River,8,0,0,2020-07-21 00:00:00
10-19,New River,41,0,0,2020-07-21 00:00:00
20-29,New River,100,0,0,2020-07-21 00:00:00
30-39,New River,40,0,1,2020-07-21 00:00:00
40-49,New River,50,0,3,2020-07-21 00:00:00
50-59,New River,44,0,4,2020-07-21 00:00:00
60-69,New River,30,0,5,2020-07-21 00:00:00
70-79,New River,21,4,8,2020-07-21 00:00:00
80+,New River,14,2,4,2020-07-21 00:00:00
Missing,New River,0,0,0,2020-07-21 00:00:00
0-9,Norfolk,74,0,2,2020-07-21 00:00:00
10-19,Norfolk,123,0,1,2020-07-21 00:00:00
20-29,Norfolk,754,0,6,2020-07-21 00:00:00
30-39,Norfolk,460,1,16,2020-07-21 00:00:00
40-49,Norfolk,288,1,15,2020-07-21 00:00:00
50-59,Norfolk,248,4,26,2020-07-21 00:00:00
60-69,Norfolk,208,4,36,2020-07-21 00:00:00
70-79,Norfolk,85,6,29,2020-07-21 00:00:00
80+,Norfolk,59,5,13,2020-07-21 00:00:00
Missing,Norfolk,30,0,1,2020-07-21 00:00:00
0-9,Peninsula,79,0,0,2020-07-21 00:00:00
10-19,Peninsula,125,0,1,2020-07-21 00:00:00
20-29,Peninsula,523,0,1,2020-07-21 00:00:00
30-39,Peninsula,375,1,8,2020-07-21 00:00:00
40-49,Peninsula,300,1,13,2020-07-21 00:00:00
50-59,Peninsula,247,3,24,2020-07-21 00:00:00
60-69,Peninsula,180,4,33,2020-07-21 00:00:00
70-79,Peninsula,121,12,40,2020-07-21 00:00:00
80+,Peninsula,80,18,29,2020-07-21 00:00:00
Missing,Peninsula,21,0,0,2020-07-21 00:00:00
0-9,Piedmont,25,0,0,2020-07-21 00:00:00
10-19,Piedmont,39,0,0,2020-07-21 00:00:00
20-29,Piedmont,186,0,2,2020-07-21 00:00:00
30-39,Piedmont,224,0,5,2020-07-21 00:00:00
40-49,Piedmont,209,0,11,2020-07-21 00:00:00
50-59,Piedmont,207,1,25,2020-07-21 00:00:00
60-69,Piedmont,155,2,22,2020-07-21 00:00:00
70-79,Piedmont,82,4,26,2020-07-21 00:00:00
80+,Piedmont,56,12,23,2020-07-21 00:00:00
Missing,Piedmont,2,0,0,2020-07-21 00:00:00
0-9,Pittsylvania-Danville,14,0,0,2020-07-21 00:00:00
10-19,Pittsylvania-Danville,30,0,0,2020-07-21 00:00:00
20-29,Pittsylvania-Danville,54,0,0,2020-07-21 00:00:00
30-39,Pittsylvania-Danville,53,0,1,2020-07-21 00:00:00
40-49,Pittsylvania-Danville,82,1,8,2020-07-21 00:00:00
50-59,Pittsylvania-Danville,79,0,16,2020-07-21 00:00:00
60-69,Pittsylvania-Danville,57,1,10,2020-07-21 00:00:00
70-79,Pittsylvania-Danville,32,1,13,2020-07-21 00:00:00
80+,Pittsylvania-Danville,27,2,8,2020-07-21 00:00:00
Missing,Pittsylvania-Danville,0,0,0,2020-07-21 00:00:00
0-9,Portsmouth,35,0,3,2020-07-21 00:00:00
