age_group,health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
80+,Thomas Jefferson,134,19,29,2020-07-23 00:00:00
Missing,Thomas Jefferson,2,0,0,2020-07-23 00:00:00
0-9,Three Rivers,13,0,1,2020-07-23 00:00:00
10-19,Three Rivers,43,0,0,2020-07-23 00:00:00
20-29,Three Rivers,159,0,4,2020-07-23 00:00:00
30-39,Three Rivers,191,0,4,2020-07-23 00:00:00
40-49,Three Rivers,177,2,12,2020-07-23 00:00:00
50-59,Three Rivers,133,0,11,2020-07-23 00:00:00
60-69,Three Rivers,93,0,14,2020-07-23 00:00:00
70-79,Three Rivers,44,5,9,2020-07-23 00:00:00
80+,Three Rivers,41,5,8,2020-07-23 00:00:00
Missing,Three Rivers,6,0,0,2020-07-23 00:00:00
0-9,Virginia Beach,90,0,0,2020-07-23 00:00:00
10-19,Virginia Beach,182,0,0,2020-07-23 00:00:00
20-29,Virginia Beach,837,0,9,2020-07-23 00:00:00
30-39,Virginia Beach,579,0,15,2020-07-23 00:00:00
40-49,Virginia Beach,407,1,21,2020-07-23 00:00:00
50-59,Virginia Beach,348,1,20,2020-07-23 00:00:00
60-69,Virginia Beach,259,3,34,2020-07-23 00:00:00
70-79,Virginia Beach,135,10,34,2020-07-23 00:00:00
80+,Virginia Beach,125,24,41,2020-07-23 00:00:00
Missing,Virginia Beach,68,0,0,2020-07-23 00:00:00
0-9,Western Tidewater,25,0,0,2020-07-23 00:00:00
10-19,Western Tidewater,68,0,0,2020-07-23 00:00:00
20-29,Western Tidewater,196,0,5,2020-07-23 00:00:00
30-39,Western Tidewater,224,1,15,2020-07-23 00:00:00
40-49,Western Tidewater,194,2,6,2020-07-23 00:00:00
50-59,Western Tidewater,226,4,17,2020-07-23 00:00:00
60-69,Western Tidewater,197,8,20,2020-07-23 00:00:00
70-79,Western Tidewater,119,19,24,2020-07-23 00:00:00
80+,Western Tidewater,161,35,30,2020-07-23 00:00:00
Missing,Western Tidewater,17,0,0,2020-07-23 00:00:00
0-9,West Piedmont,24,0,1,2020-07-23 00:00:00
10-19,West Piedmont,89,0,0,2020-07-23 00:00:00
20-29,West Piedmont,124,0,2,2020-07-23 00:00:00
30-39,West Piedmont,113,0,3,2020-07-23 00:00:00
40-49,West Piedmont,126,2,11,2020-07-23 00:00:00
50-59,West Piedmont,145,1,22,2020-07-23 00:00:00
60-69,West Piedmont,81,1,12,2020-07-23 00:00:00
70-79,West Piedmont,38,4,16,2020-07-23 00:00:00
80+,West Piedmont,28,2,18,2020-07-23 00:00:00
Missing,West Piedmont,0,0,0,2020-07-23 00:00:00
0-9,Alexandria,150,0,2,2020-07-22 00:00:00
10-19,Alexandria,194,0,4,2020-07-22 00:00:00
20-29,Alexandria,434,1,10,2020-07-22 00:00:00
30-39,Alexandria,598,0,32,2020-07-22 00:00:00
40-49,Alexandria,482,0,41,2020-07-22 00:00:00
50-59,Alexandria,336,10,52,2020-07-22 00:00:00
60-69,Alexandria,215,2,48,2020-07-22 00:00:00
70-79,Alexandria,104,18,39,2020-07-22 00:00:00
80+,Alexandria,94,25,28,2020-07-22 00:00:00
Missing,Alexandria,11,0,0,2020-07-22 00:00:00
0-9,Alleghany,16,0,0,2020-07-22 00:00:00
10-19,Alleghany,94,0,0,2020-07-22 00:00:00
20-29,Alleghany,131,0,1,2020-07-22 00:00:00
30-39,Alleghany,101,0,2,2020-07-22 00:00:00
40-49,Alleghany,104,0,2,2020-07-22 00:00:00
50-59,Alleghany,99,1,6,2020-07-22 00:00:00
60-69,Alleghany,72,1,8,2020-07-22 00:00:00
70-79,Alleghany,70,7,8,2020-07-22 00:00:00
80+,Alleghany,44,6,10,2020-07-22 00:00:00
Missing,Alleghany,2,0,0,2020-07-22 00:00:00
0-9,Arlington,57,0,2,2020-07-22 00:00:00
10-19,Arlington,130,0,5,2020-07-22 00:00:00
20-29,Arlington,527,0,22,2020-07-22 00:00:00
30-39,Arlington,502,0,43,2020-07-22 00:00:00
40-49,Arlington,458,8,51,2020-07-22 00:00:00
50-59,Arlington,405,6,68,2020-07-22 00:00:00
60-69,Arlington,294,19,82,2020-07-22 00:00:00
70-79,Arlington,177,33,73,2020-07-22 00:00:00
80+,Arlington,202,69,84,2020-07-22 00:00:00
Missing,Arlington,11,0,1,2020-07-22 00:00:00
0-9,Central Shenandoah,68,0,0,2020-07-22 00:00:00
10-19,Central Shenandoah,144,0,1,2020-07-22 00:00:00
20-29,Central Shenandoah,479,0,10,2020-07-22 00:00:00
30-39,Central Shenandoah,367,0,8,2020-07-22 00:00:00
40-49,Central Shenandoah,407,0,15,2020-07-22 00:00:00
50-59,Central Shenandoah,420,4,34,2020-07-22 00:00:00
60-69,Central Shenandoah,303,14,47,2020-07-22 00:00:00
70-79,Central Shenandoah,153,13,44,2020-07-22 00:00:00
80+,Central Shenandoah,127,18,34,2020-07-22 00:00:00
Missing,Central Shenandoah,1,0,0,2020-07-22 00:00:00
0-9,Central Virginia,12,0,0,2020-07-22 00:00:00
10-19,Central Virginia,86,0,1,2020-07-22 00:00:00
20-29,Central Virginia,169,0,2,2020-07-22 00:00:00
30-39,Central Virginia,102,0,1,2020-07-22 00:00:00
40-49,Central Virginia,102,0,1,2020-07-22 00:00:00
50-59,Central Virginia,102,2,2,2020-07-22 00:00:00
60-69,Central Virginia,70,2,4,2020-07-22 00:00:00
70-79,Central Virginia,38,2,4,2020-07-22 00:00:00
80+,Central Virginia,29,0,3,2020-07-22 00:00:00
Missing,Central Virginia,1,0,0,2020-07-22 00:00:00
0-9,Chesapeake,56,0,1,2020-07-22 00:00:00
10-19,Chesapeake,118,0,1,2020-07-22 00:00:00
20-29,Chesapeake,382,0,4,2020-07-22 00:00:00
30-39,Chesapeake,367,0,13,2020-07-22 00:00:00
40-49,Chesapeake,273,1,31,2020-07-22 00:00:00
50-59,Chesapeake,257,1,31,2020-07-22 00:00:00
60-69,Chesapeake,169,5,33,2020-07-22 00:00:00
70-79,Chesapeake,103,3,32,2020-07-22 00:00:00
80+,Chesapeake,85,14,29,2020-07-22 00:00:00
Missing,Chesapeake,40,0,1,2020-07-22 00:00:00
0-9,Chesterfield,140,0,1,2020-07-22 00:00:00
10-19,Chesterfield,361,0,0,2020-07-22 00:00:00
20-29,Chesterfield,673,0,10,2020-07-22 00:00:00
30-39,Chesterfield,735,0,14,2020-07-22 00:00:00
40-49,Chesterfield,671,3,27,2020-07-22 00:00:00
50-59,Chesterfield,512,4,45,2020-07-22 00:00:00
60-69,Chesterfield,335,12,55,2020-07-22 00:00:00
70-79,Chesterfield,151,22,31,2020-07-22 00:00:00
80+,Chesterfield,158,47,35,2020-07-22 00:00:00
Missing,Chesterfield,101,0,0,2020-07-22 00:00:00
0-9,Chickahominy,20,0,0,2020-07-22 00:00:00
10-19,Chickahominy,61,0,0,2020-07-22 00:00:00
20-29,Chickahominy,123,0,1,2020-07-22 00:00:00
30-39,Chickahominy,111,0,3,2020-07-22 00:00:00
40-49,Chickahominy,109,1,12,2020-07-22 00:00:00
50-59,Chickahominy,137,1,23,2020-07-22 00:00:00
60-69,Chickahominy,90,6,22,2020-07-22 00:00:00
70-79,Chickahominy,66,6,21,2020-07-22 00:00:00
80+,Chickahominy,84,26,35,2020-07-22 00:00:00
Missing,Chickahominy,15,0,0,2020-07-22 00:00:00
0-9,Crater,31,0,1,2020-07-22 00:00:00
10-19,Crater,83,0,0,2020-07-22 00:00:00
20-29,Crater,294,0,9,2020-07-22 00:00:00
30-39,Crater,323,0,9,2020-07-22 00:00:00
40-49,Crater,264,1,18,2020-07-22 00:00:00
50-59,Crater,323,3,36,2020-07-22 00:00:00
60-69,Crater,269,16,53,2020-07-22 00:00:00
70-79,Crater,160,18,40,2020-07-22 00:00:00
80+,Crater,126,12,26,2020-07-22 00:00:00
Missing,Crater,14,0,0,2020-07-22 00:00:00
0-9,Cumberland Plateau,4,0,0,2020-07-22 00:00:00
10-19,Cumberland Plateau,28,0,0,2020-07-22 00:00:00
20-29,Cumberland Plateau,20,0,0,2020-07-22 00:00:00
