health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date,sex
Central Virginia,294,2,7,2020-07-19 00:00:00,Female
Central Virginia,301,4,10,2020-07-19 00:00:00,Male
Central Virginia,0,0,0,2020-07-19 00:00:00,Not Reported
Chesapeake,953,12,89,2020-07-19 00:00:00,Female
Chesapeake,729,12,75,2020-07-19 00:00:00,Male
Chesapeake,3,0,0,2020-07-19 00:00:00,Not Reported
Chesterfield,1809,44,104,2020-07-19 00:00:00,Female
Chesterfield,1813,42,102,2020-07-19 00:00:00,Male
Chesterfield,91,2,0,2020-07-19 00:00:00,Not Reported
Chickahominy,428,20,59,2020-07-19 00:00:00,Female
Chickahominy,352,20,56,2020-07-19 00:00:00,Male
Chickahominy,4,0,0,2020-07-19 00:00:00,Not Reported
Crater,812,29,97,2020-07-19 00:00:00,Female
Crater,1022,21,90,2020-07-19 00:00:00,Male
Crater,15,0,1,2020-07-19 00:00:00,Not Reported
Cumberland Plateau,69,0,2,2020-07-19 00:00:00,Female
Cumberland Plateau,66,0,7,2020-07-19 00:00:00,Male
Cumberland Plateau,0,0,0,2020-07-19 00:00:00,Not Reported
Eastern Shore,667,23,61,2020-07-19 00:00:00,Female
Eastern Shore,654,20,55,2020-07-19 00:00:00,Male
Eastern Shore,9,0,0,2020-07-19 00:00:00,Not Reported
Fairfax,7630,256,771,2020-07-19 00:00:00,Female
Fairfax,7281,264,1037,2020-07-19 00:00:00,Male
Fairfax,94,2,2,2020-07-19 00:00:00,Not Reported
Hampton,388,1,15,2020-07-19 00:00:00,Female
Hampton,310,3,27,2020-07-19 00:00:00,Male
