health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Prince William,10939,197,942,2020-07-31 00:00:00
Rappahannock,3201,50,284,2020-07-31 00:00:00
Rappahannock Rapidan,1820,26,132,2020-07-31 00:00:00
Richmond,2893,39,276,2020-07-31 00:00:00
Roanoke,814,11,18,2020-07-31 00:00:00
Southside,630,34,64,2020-07-31 00:00:00
Thomas Jefferson,1705,34,136,2020-07-31 00:00:00
Three Rivers,967,15,66,2020-07-31 00:00:00
Virginia Beach,4055,45,200,2020-07-31 00:00:00
Western Tidewater,1712,76,131,2020-07-31 00:00:00
West Piedmont,895,12,104,2020-07-31 00:00:00
Alexandria,2811,59,270,2020-08-01 00:00:00
Alleghany,837,20,39,2020-08-01 00:00:00
Arlington,2906,136,435,2020-08-01 00:00:00
Central Shenandoah,2650,53,206,2020-08-01 00:00:00
Central Virginia,1058,10,27,2020-08-01 00:00:00
Chesapeake,2462,29,204,2020-08-01 00:00:00
Chesterfield,4271,100,243,2020-08-01 00:00:00
Chickahominy,905,44,129,2020-08-01 00:00:00
Crater,2136,61,204,2020-08-01 00:00:00
Cumberland Plateau,246,1,17,2020-08-01 00:00:00
Eastern Shore,1369,43,123,2020-08-01 00:00:00
Fairfax,15828,535,1921,2020-08-01 00:00:00
Hampton,1009,5,49,2020-08-01 00:00:00
Henrico,3601,182,312,2020-08-01 00:00:00
Lenowisco,245,7,31,2020-08-01 00:00:00
Lord Fairfax,2475,86,216,2020-08-01 00:00:00
Loudoun,5014,112,336,2020-08-01 00:00:00
Mount Rogers,1220,49,116,2020-08-01 00:00:00
New River,431,7,29,2020-08-01 00:00:00
Norfolk,3185,26,170,2020-08-01 00:00:00
Peninsula,2583,41,161,2020-08-01 00:00:00
Piedmont,1351,27,116,2020-08-01 00:00:00
Pittsylvania-Danville,643,9,61,2020-08-01 00:00:00
Portsmouth,1492,24,124,2020-08-01 00:00:00
Prince William,10998,199,947,2020-08-01 00:00:00
Rappahannock,3246,52,286,2020-08-01 00:00:00
Rappahannock Rapidan,1829,26,132,2020-08-01 00:00:00
Richmond,2936,39,278,2020-08-01 00:00:00
Roanoke,861,11,18,2020-08-01 00:00:00
Southside,644,34,64,2020-08-01 00:00:00
Thomas Jefferson,1720,37,136,2020-08-01 00:00:00
Three Rivers,978,15,67,2020-08-01 00:00:00
Virginia Beach,4178,46,201,2020-08-01 00:00:00
Western Tidewater,1746,77,132,2020-08-01 00:00:00
West Piedmont,937,13,110,2020-08-01 00:00:00
Alexandria,2820,59,268,2020-08-02 00:00:00
Alleghany,857,20,39,2020-08-02 00:00:00
Arlington,2925,136,435,2020-08-02 00:00:00
Central Shenandoah,2664,53,206,2020-08-02 00:00:00
Central Virginia,1093,10,44,2020-08-02 00:00:00
Chesapeake,2538,29,206,2020-08-02 00:00:00
Chesterfield,4331,100,243,2020-08-02 00:00:00
Chickahominy,908,44,129,2020-08-02 00:00:00
Crater,2157,61,206,2020-08-02 00:00:00
Cumberland Plateau,252,1,19,2020-08-02 00:00:00
Eastern Shore,1371,43,123,2020-08-02 00:00:00
Fairfax,15908,536,1923,2020-08-02 00:00:00
Hampton,1048,5,49,2020-08-02 00:00:00
Henrico,3609,182,312,2020-08-02 00:00:00
Lenowisco,246,7,32,2020-08-02 00:00:00
Lord Fairfax,2484,86,216,2020-08-02 00:00:00
Loudoun,5034,112,336,2020-08-02 00:00:00
Mount Rogers,1248,50,117,2020-08-02 00:00:00
New River,440,7,30,2020-08-02 00:00:00
Norfolk,3210,26,172,2020-08-02 00:00:00
Peninsula,2645,41,161,2020-08-02 00:00:00
Piedmont,1368,27,116,2020-08-02 00:00:00
Pittsylvania-Danville,684,9,63,2020-08-02 00:00:00
Portsmouth,1539,24,125,2020-08-02 00:00:00
Prince William,11016,199,951,2020-08-02 00:00:00
Rappahannock,3271,52,288,2020-08-02 00:00:00
Rappahannock Rapidan,1838,26,132,2020-08-02 00:00:00
Richmond,2946,39,278,2020-08-02 00:00:00
Roanoke,903,11,18,2020-08-02 00:00:00
Southside,650,34,65,2020-08-02 00:00:00
Thomas Jefferson,1749,37,136,2020-08-02 00:00:00
Three Rivers,982,15,68,2020-08-02 00:00:00
Virginia Beach,4299,47,202,2020-08-02 00:00:00
Western Tidewater,1794,77,132,2020-08-02 00:00:00
West Piedmont,955,13,115,2020-08-02 00:00:00
Alexandria,2844,59,269,2020-08-03 00:00:00
Alleghany,871,20,39,2020-08-03 00:00:00
Arlington,2945,136,436,2020-08-03 00:00:00
Central Shenandoah,2681,53,206,2020-08-03 00:00:00
Central Virginia,1122,10,56,2020-08-03 00:00:00
Chesapeake,2617,29,213,2020-08-03 00:00:00
Chesterfield,4410,100,245,2020-08-03 00:00:00
Chickahominy,917,44,129,2020-08-03 00:00:00
Crater,2202,62,209,2020-08-03 00:00:00
Cumberland Plateau,269,1,21,2020-08-03 00:00:00
Eastern Shore,1374,43,123,2020-08-03 00:00:00
Fairfax,16048,536,1924,2020-08-03 00:00:00
Hampton,1070,5,49,2020-08-03 00:00:00
Henrico,3654,182,317,2020-08-03 00:00:00
Lenowisco,267,7,32,2020-08-03 00:00:00
Lord Fairfax,2493,85,216,2020-08-03 00:00:00
Loudoun,5059,112,339,2020-08-03 00:00:00
Mount Rogers,1270,50,119,2020-08-03 00:00:00
New River,452,7,32,2020-08-03 00:00:00
Norfolk,3345,26,173,2020-08-03 00:00:00
Peninsula,2704,41,161,2020-08-03 00:00:00
Piedmont,1373,27,116,2020-08-03 00:00:00
Pittsylvania-Danville,719,9,65,2020-08-03 00:00:00
Portsmouth,1540,24,125,2020-08-03 00:00:00
Prince William,11100,200,955,2020-08-03 00:00:00
Rappahannock,3323,51,289,2020-08-03 00:00:00
Rappahannock Rapidan,1852,26,132,2020-08-03 00:00:00
Richmond,2992,39,283,2020-08-03 00:00:00
Roanoke,909,11,19,2020-08-03 00:00:00
Southside,662,34,65,2020-08-03 00:00:00
Thomas Jefferson,1793,37,137,2020-08-03 00:00:00
Three Rivers,992,15,68,2020-08-03 00:00:00
Virginia Beach,4427,47,208,2020-08-03 00:00:00
Western Tidewater,1853,77,132,2020-08-03 00:00:00
West Piedmont,957,13,116,2020-08-03 00:00:00
Alexandria,2867,60,273,2020-08-04 00:00:00
Alleghany,872,17,40,2020-08-04 00:00:00
Arlington,2973,136,436,2020-08-04 00:00:00
Central Shenandoah,2709,54,207,2020-08-04 00:00:00
Central Virginia,1155,11,56,2020-08-04 00:00:00
Chesapeake,2689,30,217,2020-08-04 00:00:00
Chesterfield,4460,100,252,2020-08-04 00:00:00
Chickahominy,929,44,130,2020-08-04 00:00:00
Crater,2215,65,213,2020-08-04 00:00:00
Cumberland Plateau,277,1,22,2020-08-04 00:00:00
Eastern Shore,1377,44,126,2020-08-04 00:00:00
Fairfax,16127,540,1927,2020-08-04 00:00:00
Hampton,1103,7,49,2020-08-04 00:00:00
Henrico,3690,182,321,2020-08-04 00:00:00
Lenowisco,279,7,32,2020-08-04 00:00:00
Lord Fairfax,2505,85,217,2020-08-04 00:00:00
Loudoun,5093,113,339,2020-08-04 00:00:00
Mount Rogers,1276,51,121,2020-08-04 00:00:00
New River,463,7,32,2020-08-04 00:00:00
Norfolk,3425,26,178,2020-08-04 00:00:00
Peninsula,2776,43,165,2020-08-04 00:00:00
Piedmont,1381,29,117,2020-08-04 00:00:00
Pittsylvania-Danville,727,9,66,2020-08-04 00:00:00
Portsmouth,1631,24,129,2020-08-04 00:00:00
Prince William,11205,200,956,2020-08-04 00:00:00
Rappahannock,3356,52,293,2020-08-04 00:00:00
Rappahannock Rapidan,1863,26,133,2020-08-04 00:00:00
Richmond,3015,39,282,2020-08-04 00:00:00
Roanoke,913,14,21,2020-08-04 00:00:00
Southside,666,35,65,2020-08-04 00:00:00
Thomas Jefferson,1824,39,137,2020-08-04 00:00:00
Three Rivers,1002,15,69,2020-08-04 00:00:00
Virginia Beach,4529,49,215,2020-08-04 00:00:00
Western Tidewater,1901,77,132,2020-08-04 00:00:00
West Piedmont,978,13,117,2020-08-04 00:00:00
Alexandria,2872,60,274,2020-08-05 00:00:00
Alleghany,882,18,40,2020-08-05 00:00:00
Arlington,2997,135,436,2020-08-05 00:00:00
Central Shenandoah,2719,55,207,2020-08-05 00:00:00
Central Virginia,1197,13,58,2020-08-05 00:00:00
Chesapeake,2714,33,221,2020-08-05 00:00:00
Chesterfield,4493,100,252,2020-08-05 00:00:00
Chickahominy,936,45,130,2020-08-05 00:00:00
Crater,2233,68,215,2020-08-05 00:00:00
Cumberland Plateau,298,3,24,2020-08-05 00:00:00
Eastern Shore,1380,44,127,2020-08-05 00:00:00
Fairfax,16160,542,1925,2020-08-05 00:00:00
Hampton,1129,7,49,2020-08-05 00:00:00
Henrico,3714,182,322,2020-08-05 00:00:00
Lenowisco,291,7,34,2020-08-05 00:00:00
Lord Fairfax,2513,85,219,2020-08-05 00:00:00
Loudoun,5117,113,340,2020-08-05 00:00:00
Mount Rogers,1295,52,122,2020-08-05 00:00:00
New River,468,7,32,2020-08-05 00:00:00
Norfolk,3493,28,179,2020-08-05 00:00:00
Peninsula,2802,44,165,2020-08-05 00:00:00
Piedmont,1415,29,119,2020-08-05 00:00:00
Pittsylvania-Danville,737,9,68,2020-08-05 00:00:00
Portsmouth,1663,25,131,2020-08-05 00:00:00
Prince William,11264,202,964,2020-08-05 00:00:00
Rappahannock,3387,55,293,2020-08-05 00:00:00
Rappahannock Rapidan,1878,27,133,2020-08-05 00:00:00
Richmond,3034,39,286,2020-08-05 00:00:00
Roanoke,932,14,21,2020-08-05 00:00:00
Southside,689,35,65,2020-08-05 00:00:00
