COUNTY,COUNTYNAME,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Scrape_Time
087,MONROE,790,8,6,49,96,131,140,171,125,46,17,1,0 to 97,52,443,342,5,766,24,0,161,571,104,62,64,651,0,75,691,28,30,0,58,0,1,6,10,8,12,11,10,6,0,0,14 to 80,52,32,3,0,23,8,28,22,13,1,9,0,0,3,64,33,31,58,6,0,633,18,790,651,64,3,165,102,2020-04-13 22:12:45.562914
089,NASSAU,712,10,12,67,110,118,117,124,88,54,12,0,0 to 99,47,415,257,40,707,5,0,24,669,23,19,34,678,0,0,707,21,13,0,34,0,0,3,4,6,5,5,8,3,0,0,20 to 84,50,21,6,1,6,0,27,7,13,0,7,0,0,0,34,13,21,34,0,0,673,5,712,678,34,0,21,18,2020-04-13 22:12:45.562914
091,OKALOOSA,1329,49,37,89,199,210,196,228,153,104,62,2,0 to 118,48,828,462,39,1311,17,1,74,1141,118,51,103,1213,1,12,1299,55,44,0,99,1,1,2,16,11,10,19,18,16,9,0,3 to 96,59,78,11,5,5,7,86,6,31,1,17,0,0,1,103,47,56,98,4,1,1200,13,1329,1213,103,1,287,164,2020-04-13 22:12:45.562914
093,OKEECHOBEE,205,5,9,23,25,27,36,35,24,17,3,1,0 to 97,48,103,87,15,202,3,0,29,174,26,7,5,199,0,1,201,3,1,0,4,0,0,0,1,1,0,1,2,0,0,0,33 to 74,61,4,0,0,0,0,4,0,0,0,1,1,0,0,5,2,3,4,1,0,197,2,205,199,5,0,7,5,2020-04-13 22:12:45.562914
095,ORANGE,11961,375,299,1040,2163,2218,2111,1808,1140,557,247,3,0 to 101,44,6903,5007,51,11730,230,1,341,11289,472,196,1024,10875,40,22,11669,454,509,5,968,11,11,96,167,198,221,161,88,50,21,0,0 to 101,46,430,116,255,167,203,305,460,276,21,139,18,1,13,1024,540,479,967,56,1,10701,174,11961,10875,1024,13,572,409,2020-04-13 22:12:45.562914
097,OSCEOLA,2784,34,68,229,505,550,484,435,288,143,41,7,0 to 97,45,1592,1176,16,2770,14,0,241,2276,360,144,333,2374,10,67,2695,155,169,1,325,1,2,26,41,52,72,71,48,18,2,0,0 to 94,50,167,24,118,16,164,106,55,149,4,95,5,0,5,333,175,157,325,8,0,2370,4,2784,2374,333,5,274,99,2020-04-13 22:12:45.562914
099,PALM BEACH,11010,143,176,732,1495,1604,1784,1857,1564,1062,552,41,0 to 110,52,6166,4686,158,10898,110,2,177,10485,549,128,1704,9110,112,84,10706,823,816,16,1655,5,9,103,185,217,261,269,286,249,117,3,0 to 104,57,611,176,124,744,201,675,779,355,20,269,13,2,92,1704,842,846,1653,49,2,9051,59,11010,9110,1704,92,681,496,2020-04-13 22:12:45.562914
101,PASCO,3600,64,85,245,464,559,650,652,515,270,92,4,0 to 102,50,2198,1390,12,3575,25,0,102,3338,211,81,169,3405,5,21,3549,81,81,0,162,1,1,15,20,37,33,29,26,5,2,0,1 to 94,48,110,14,28,10,44,103,15,55,3,33,2,0,3,169,85,84,162,7,0,3387,18,3600,3405,169,3,361,225,2020-04-13 22:12:45.562914
103,PINELLAS,9055,135,139,599,1342,1277,1503,1651,1329,716,347,17,0 to 105,52,5367,3662,26,8919,136,0,582,8225,668,292,479,8498,9,69,8842,217,225,0,442,1,4,39,74,50,91,97,77,32,14,0,1 to 98,53,314,57,22,49,38,342,62,127,15,78,14,1,13,479,248,231,442,37,0,8400,98,9055,8498,479,13,307,234,2020-04-13 22:12:45.562914
105,POLK,4243,96,90,320,621,634,697,691,605,349,138,2,0 to 100,50,2472,1676,95,4225,18,0,198,3896,265,100,270,3956,3,14,4208,144,120,0,264,1,5,11,40,37,45,53,43,25,10,0,3 to 97,54,154,47,28,35,74,135,55,123,2,81,1,0,9,270,122,148,264,6,0,3944,12,4243,3956,270,9,288,216,2020-04-13 22:12:45.562914
