County Name,Scrape Time,Total Cases,Total Deaths,Total Hospitalized
Chelan,2020-06-24 21:44:15.310299,293,6,19
Clallam,2020-06-24 21:44:15.310299,33,0,3
Clark,2020-06-24 21:44:15.310299,671,30,99
Columbia,2020-06-24 21:44:15.310299,8,0,1
Cowlitz,2020-06-24 21:44:15.310299,153,0,18
Douglas,2020-06-24 21:44:15.310299,205,3,12
Ferry,2020-06-24 21:44:15.310299,1,0,0
Franklin,2020-06-24 21:44:15.310299,1406,31,130
Garfield,2020-06-24 21:44:15.310299,0,0,0
Grant,2020-06-24 21:44:15.310299,414,6,37
Grays Harbor,2020-06-24 21:44:15.310299,24,0,8
Island,2020-06-24 21:44:15.310299,188,12,32
Jefferson,2020-06-24 21:44:15.310299,35,0,7
King,2020-06-24 21:44:15.310299,9453,604,1738
Kitsap,2020-06-24 21:44:15.310299,198,2,28
Kittitas,2020-06-24 21:44:15.310299,109,0,3
Klickitat,2020-06-24 21:44:15.310299,55,3,8
Lewis,2020-06-24 21:44:15.310299,52,3,13
Lincoln,2020-06-24 21:44:15.310299,2,0,0
Mason,2020-06-24 21:44:15.310299,43,1,5
Okanogan,2020-06-24 21:44:15.310299,63,2,5
Pacific,2020-06-24 21:44:15.310299,13,1,2
Pend Oreille,2020-06-24 21:44:15.310299,3,0,0
Pierce,2020-06-24 21:44:15.310299,2361,96,396
San Juan,2020-06-24 21:44:15.310299,20,0,1
Skagit,2020-06-24 21:44:15.310299,488,15,56
Skamania,2020-06-24 21:44:15.310299,3,0,1
Snohomish,2020-06-24 21:44:15.310299,3346,165,596
Spokane,2020-06-24 21:44:15.310299,1069,38,109
Stevens,2020-06-24 21:44:15.310299,16,1,4
Thurston,2020-06-24 21:44:15.310299,226,7,35
Wahkiakum,2020-06-24 21:44:15.310299,4,0,0
Walla Walla,2020-06-24 21:44:15.310299,144,3,12
Whatcom,2020-06-24 21:44:15.310299,554,40,52
Whitman,2020-06-24 21:44:15.310299,30,0,0
Yakima,2020-06-24 21:44:15.310299,6490,146,464
Adams,2020-06-25 21:28:22.881126,109,0,8
Asotin,2020-06-25 21:28:22.881126,20,2,1
Benton,2020-06-25 21:28:22.881126,1524,76,189
Chelan,2020-06-25 21:28:22.881126,293,6,19
Clallam,2020-06-25 21:28:22.881126,33,0,3
Clark,2020-06-25 21:28:22.881126,671,30,99
Columbia,2020-06-25 21:28:22.881126,8,0,1
Cowlitz,2020-06-25 21:28:22.881126,153,0,18
Douglas,2020-06-25 21:28:22.881126,205,3,12
Ferry,2020-06-25 21:28:22.881126,1,0,0
Franklin,2020-06-25 21:28:22.881126,1406,31,130
Garfield,2020-06-25 21:28:22.881126,0,0,0
Grant,2020-06-25 21:28:22.881126,414,6,37
Grays Harbor,2020-06-25 21:28:22.881126,24,0,8
Island,2020-06-25 21:28:22.881126,188,12,32
Jefferson,2020-06-25 21:28:22.881126,35,0,7
King,2020-06-25 21:28:22.881126,9453,604,1738
Kitsap,2020-06-25 21:28:22.881126,198,2,28
Kittitas,2020-06-25 21:28:22.881126,109,0,3
Klickitat,2020-06-25 21:28:22.881126,55,3,8
Lewis,2020-06-25 21:28:22.881126,52,3,13
Lincoln,2020-06-25 21:28:22.881126,2,0,0
Mason,2020-06-25 21:28:22.881126,43,1,5
Okanogan,2020-06-25 21:28:22.881126,63,2,5
