County Name,Scrape Time,Total Cases,Total Deaths,Total Tested: Negative
Wallowa,2020-07-03 22:49:25.828743,10,0,432
Wasco,2020-07-03 22:49:25.828743,75,1,2226
Washington,2020-07-03 22:49:25.828743,1446,20,33368
Wheeler,2020-07-03 22:49:25.828743,0,0,121
Yamhill,2020-07-03 22:49:25.828743,131,8,5423
Baker,2020-07-04 20:37:54.891759,4,0,503
Benton,2020-07-04 20:37:54.891759,83,5,6218
Clackamas,2020-07-04 20:37:54.891759,773,24,23648
Clatsop,2020-07-04 20:37:54.891759,49,0,2438
Columbia,2020-07-04 20:37:54.891759,31,0,2784
Coos,2020-07-04 20:37:54.891759,41,0,2710
Crook,2020-07-04 20:37:54.891759,11,0,1070
Curry,2020-07-04 20:37:54.891759,7,0,722
Deschutes,2020-07-04 20:37:54.891759,192,0,10744
Douglas,2020-07-04 20:37:54.891759,44,0,5080
Gilliam,2020-07-04 20:37:54.891759,0,0,96
Grant,2020-07-04 20:37:54.891759,1,0,192
Harney,2020-07-04 20:37:54.891759,1,0,411
Hood River,2020-07-04 20:37:54.891759,88,0,2328
Jackson,2020-07-04 20:37:54.891759,131,0,12350
Jefferson,2020-07-04 20:37:54.891759,126,0,1992
Josephine,2020-07-04 20:37:54.891759,41,1,4275
Klamath,2020-07-04 20:37:54.891759,123,1,4997
Lake,2020-07-04 20:37:54.891759,19,0,248
Lane,2020-07-04 20:37:54.891759,180,3,23897
Lincoln,2020-07-04 20:37:54.891759,327,2,4724
Linn,2020-07-04 20:37:54.891759,154,9,6932
Malheur,2020-07-04 20:37:54.891759,140,1,1558
Marion,2020-07-04 20:37:54.891759,1564,47,17189
Morrow,2020-07-04 20:37:54.891759,72,1,501
Multnomah,2020-07-04 20:37:54.891759,2301,69,52619
Polk,2020-07-04 20:37:54.891759,149,12,2912
Sherman,2020-07-04 20:37:54.891759,1,0,147
Tillamook,2020-07-04 20:37:54.891759,12,0,1274
Umatilla,2020-07-04 20:37:54.891759,620,4,3927
Union,2020-07-04 20:37:54.891759,347,1,1704
Wallowa,2020-07-04 20:37:54.891759,10,0,432
Wasco,2020-07-04 20:37:54.891759,75,1,2226
Washington,2020-07-04 20:37:54.891759,1446,20,33368
Wheeler,2020-07-04 20:37:54.891759,0,0,121
Yamhill,2020-07-04 20:37:54.891759,131,8,5423
Baker,2020-07-05 20:11:33.780733,4,0,503
Benton,2020-07-05 20:11:33.780733,83,5,6218
Clackamas,2020-07-05 20:11:33.780733,773,24,23648
Clatsop,2020-07-05 20:11:33.780733,49,0,2438
Columbia,2020-07-05 20:11:33.780733,31,0,2784
Coos,2020-07-05 20:11:33.780733,41,0,2710
Crook,2020-07-05 20:11:33.780733,11,0,1070
Curry,2020-07-05 20:11:33.780733,7,0,722
Deschutes,2020-07-05 20:11:33.780733,192,0,10744
Douglas,2020-07-05 20:11:33.780733,44,0,5080
Gilliam,2020-07-05 20:11:33.780733,0,0,96
Grant,2020-07-05 20:11:33.780733,1,0,192
Harney,2020-07-05 20:11:33.780733,1,0,411
Hood River,2020-07-05 20:11:33.780733,88,0,2328
Jackson,2020-07-05 20:11:33.780733,131,0,12350
Jefferson,2020-07-05 20:11:33.780733,126,0,1992
Josephine,2020-07-05 20:11:33.780733,41,1,4275
Klamath,2020-07-05 20:11:33.780733,123,1,4997
Lake,2020-07-05 20:11:33.780733,19,0,248
Lane,2020-07-05 20:11:33.780733,180,3,23897
Lincoln,2020-07-05 20:11:33.780733,327,2,4724
Linn,2020-07-05 20:11:33.780733,154,9,6932
Malheur,2020-07-05 20:11:33.780733,140,1,1558
Marion,2020-07-05 20:11:33.780733,1564,47,17189
Morrow,2020-07-05 20:11:33.780733,72,1,501
Multnomah,2020-07-05 20:11:33.780733,2301,69,52619
Polk,2020-07-05 20:11:33.780733,149,12,2912
Sherman,2020-07-05 20:11:33.780733,1,0,147
Tillamook,2020-07-05 20:11:33.780733,12,0,1274
Umatilla,2020-07-05 20:11:33.780733,620,4,3927
Union,2020-07-05 20:11:33.780733,347,1,1704
Wallowa,2020-07-05 20:11:33.780733,10,0,432
Wasco,2020-07-05 20:11:33.780733,75,1,2226
Washington,2020-07-05 20:11:33.780733,1446,20,33368
Wheeler,2020-07-05 20:11:33.780733,0,0,121
