Active Cases,County Name,Deaths,FIPS,Negative Cases,Pending Cases,Positive Cases,Recovered,Scrape Time,Testing: Private Lab,Testing: Public Lab,Total Tested
142,Benton,0,007,8507,0,284,142,2020-05-24 20:30:19.404170,8352,439,8791
2,Boone,0,009,594,0,6,4,2020-05-24 20:30:19.404170,587,13,600
5,Bradley,1,011,374,0,17,11,2020-05-24 20:30:19.404170,198,193,391
0,Calhoun,0,013,58,0,0,0,2020-05-24 20:30:19.404170,49,9,58
5,Carroll,0,015,598,0,10,5,2020-05-24 20:30:19.404170,567,41,608
4,Chicot,0,017,203,0,13,9,2020-05-24 20:30:19.404170,148,68,216
2,Clark,0,019,690,0,36,34,2020-05-24 20:30:19.404170,456,270,726
1,Clay,0,021,468,0,4,3,2020-05-24 20:30:19.404170,465,7,472
1,Cleburne,4,023,598,0,73,68,2020-05-24 20:30:19.404170,586,85,671
3,Cleveland,0,025,281,0,18,15,2020-05-24 20:30:19.404170,215,84,299
6,Columbia,2,027,314,0,20,12,2020-05-24 20:30:19.404170,296,38,334
1,Conway,1,029,523,0,14,12,2020-05-24 20:30:19.404170,485,52,537
60,Craighead,0,031,3845,0,185,125,2020-05-24 20:30:19.404170,3855,175,4030
2,Crawford,0,033,567,0,13,11,2020-05-24 20:30:19.404170,572,8,580
65,Crittenden,9,035,2557,0,285,211,2020-05-24 20:30:19.404170,2448,394,2842
10,Cross,0,037,571,0,42,32,2020-05-24 20:30:19.404170,444,169,613
0,Dallas,0,039,141,0,1,1,2020-05-24 20:30:19.404170,130,12,142
1,Desha,0,041,411,0,19,18,2020-05-24 20:30:19.404170,325,105,430
2,Drew,1,043,547,0,19,16,2020-05-24 20:30:19.404170,502,64,566
13,Faulkner,3,045,2743,0,100,84,2020-05-24 20:30:19.404170,2449,394,2843
