County Name,Scrape Time,Total Deaths
Minnehaha,2020-07-29 20:25:25.446340,58
Pennington,2020-07-29 20:25:25.446340,16
Todd,2020-07-29 20:25:25.446340,1
Union,2020-07-29 20:25:25.446340,1
Beadle,2020-07-30 20:43:57.580845,6
Brown,2020-07-30 20:43:57.580845,2
Buffalo,2020-07-30 20:43:57.580845,2
Faulk,2020-07-30 20:43:57.580845,1
Jackson,2020-07-30 20:43:57.580845,1
Jerauld,2020-07-30 20:43:57.580845,1
Lake,2020-07-30 20:43:57.580845,1
Lincoln,2020-07-30 20:43:57.580845,1
McCook,2020-07-30 20:43:57.580845,1
Meade,2020-07-30 20:43:57.580845,1
Minnehaha,2020-07-30 20:43:57.580845,58
Pennington,2020-07-30 20:43:57.580845,16
Todd,2020-07-30 20:43:57.580845,1
Union,2020-07-30 20:43:57.580845,1
Beadle,2020-07-31 20:11:38.086429,6
Brown,2020-07-31 20:11:38.086429,2
Buffalo,2020-07-31 20:11:38.086429,2
Faulk,2020-07-31 20:11:38.086429,1
Jackson,2020-07-31 20:11:38.086429,1
Jerauld,2020-07-31 20:11:38.086429,1
Lake,2020-07-31 20:11:38.086429,1
Lincoln,2020-07-31 20:11:38.086429,1
McCook,2020-07-31 20:11:38.086429,1
Meade,2020-07-31 20:11:38.086429,1
Minnehaha,2020-07-31 20:11:38.086429,58
Pennington,2020-07-31 20:11:38.086429,16
Todd,2020-07-31 20:11:38.086429,1
Union,2020-07-31 20:11:38.086429,1
Beadle,2020-08-01 20:18:59.388046,6
Brown,2020-08-01 20:18:59.388046,2
Buffalo,2020-08-01 20:18:59.388046,2
Faulk,2020-08-01 20:18:59.388046,1
Jackson,2020-08-01 20:18:59.388046,1
Jerauld,2020-08-01 20:18:59.388046,1
Lake,2020-08-01 20:18:59.388046,1
Lincoln,2020-08-01 20:18:59.388046,1
McCook,2020-08-01 20:18:59.388046,1
Meade,2020-08-01 20:18:59.388046,1
Minnehaha,2020-08-01 20:18:59.388046,58
Pennington,2020-08-01 20:18:59.388046,16
Todd,2020-08-01 20:18:59.388046,1
Union,2020-08-01 20:18:59.388046,1
Beadle,2020-08-02 20:30:32.052212,6
Brown,2020-08-02 20:30:32.052212,2
Buffalo,2020-08-02 20:30:32.052212,2
Faulk,2020-08-02 20:30:32.052212,1
Jackson,2020-08-02 20:30:32.052212,1
Jerauld,2020-08-02 20:30:32.052212,1
Lake,2020-08-02 20:30:32.052212,1
Lincoln,2020-08-02 20:30:32.052212,1
McCook,2020-08-02 20:30:32.052212,1
Meade,2020-08-02 20:30:32.052212,1
Minnehaha,2020-08-02 20:30:32.052212,58
Pennington,2020-08-02 20:30:32.052212,16
