County Name,Scrape Time,Total Deaths,Total Negative Cases,Total Positive Cases,Total Recovered Cases
Sanborn,2020-08-27 20:09:37.552741,0,251,13,13
Spink,2020-08-27 20:09:37.552741,0,1278,44,27
Stanley,2020-08-27 20:09:37.552741,0,298,20,19
Sully,2020-08-27 20:09:37.552741,0,97,8,5
Todd,2020-08-27 20:09:37.552741,5,2393,77,69
Lincoln,2020-08-28 20:01:26.673684,2,7850,844,725
Lyman,2020-08-28 20:01:26.673684,3,1052,102,84
Marshall,2020-08-28 20:01:26.673684,0,512,16,11
McCook,2020-08-28 20:01:26.673684,1,704,44,36
McPherson,2020-08-28 20:01:26.673684,0,243,10,7
Meade,2020-08-28 20:01:26.673684,1,2273,261,120
Mellette,2020-08-28 20:01:26.673684,0,404,24,24
Miner,2020-08-28 20:01:26.673684,0,271,16,15
Minnehaha,2020-08-28 20:01:26.673684,70,31157,5079,4529
Moody,2020-08-28 20:01:26.673684,0,705,41,34
Oglala Lakota,2020-08-28 20:01:26.673684,2,3052,172,146
Pennington,2020-08-28 20:01:26.673684,33,12233,1284,906
Perkins,2020-08-28 20:01:26.673684,0,223,14,5
Potter,2020-08-28 20:01:26.673684,0,334,7,2
Roberts,2020-08-28 20:01:26.673684,1,2090,93,81
Sanborn,2020-08-28 20:01:26.673684,0,252,14,13
Spink,2020-08-28 20:01:26.673684,0,1289,47,28
Stanley,2020-08-28 20:01:26.673684,0,301,20,19
Sully,2020-08-28 20:01:26.673684,0,100,8,5
Todd,2020-08-28 20:01:26.673684,5,2418,78,70
Lincoln,2020-08-29 20:03:49.545483,2,7920,869,738
Lyman,2020-08-29 20:03:49.545483,3,1061,102,85
Marshall,2020-08-29 20:03:49.545483,0,521,19,11
McCook,2020-08-29 20:03:49.545483,1,712,47,36
McPherson,2020-08-29 20:03:49.545483,0,243,10,9
Meade,2020-08-29 20:03:49.545483,1,2290,279,129
Mellette,2020-08-29 20:03:49.545483,0,406,24,24
Miner,2020-08-29 20:03:49.545483,0,276,16,15
Minnehaha,2020-08-29 20:03:49.545483,70,31359,5178,4583
Moody,2020-08-29 20:03:49.545483,0,708,41,35
Oglala Lakota,2020-08-29 20:03:49.545483,2,3056,173,147
Pennington,2020-08-29 20:03:49.545483,33,12230,1337,922
Perkins,2020-08-29 20:03:49.545483,0,223,14,5
Potter,2020-08-29 20:03:49.545483,0,339,11,3
Roberts,2020-08-29 20:03:49.545483,1,2125,95,83
Sanborn,2020-08-29 20:03:49.545483,0,256,15,13
Spink,2020-08-29 20:03:49.545483,0,1293,48,31
Stanley,2020-08-29 20:03:49.545483,0,305,20,20
Sully,2020-08-29 20:03:49.545483,0,101,8,5
Todd,2020-08-29 20:03:49.545483,5,2451,78,70
Lincoln,2020-08-30 19:55:40.823887,2,7975,888,747
Lyman,2020-08-30 19:55:40.823887,3,1075,105,86
Marshall,2020-08-30 19:55:40.823887,0,527,19,12
McCook,2020-08-30 19:55:40.823887,1,717,49,36
McPherson,2020-08-30 19:55:40.823887,0,246,11,9
Meade,2020-08-30 19:55:40.823887,1,2290,294,135
Mellette,2020-08-30 19:55:40.823887,0,408,24,24
Miner,2020-08-30 19:55:40.823887,0,277,16,15
Minnehaha,2020-08-30 19:55:40.823887,70,31522,5235,4615
Moody,2020-08-30 19:55:40.823887,0,717,41,35
Oglala Lakota,2020-08-30 19:55:40.823887,2,3060,173,148
Pennington,2020-08-30 19:55:40.823887,33,12263,1406,945
Perkins,2020-08-30 19:55:40.823887,0,223,13,6
Potter,2020-08-30 19:55:40.823887,0,343,16,5
Roberts,2020-08-30 19:55:40.823887,1,2133,97,84
