# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,0,0,0,1,0,1,167,33,0,4,9,0,0,21,0,7,1,JEFFERSON,09/23/2020,244
0,2,0,0,0,1,1,170,32,1,7,3,0,2,18,1,83,14,JEFFERSON DAVIS,09/23/2020,335
0,14,2,0,5,2,1,718,91,183,31,194,3,5,132,37,845,189,JONES,09/23/2020,2452
0,11,20,0,1,2,2,150,27,0,4,7,0,0,17,0,39,8,KEMPER,09/23/2020,288
0,0,0,0,14,3,2,261,105,25,31,88,2,15,454,21,756,360,LAFAYETTE,09/23/2020,2137
0,2,1,0,5,1,3,287,76,49,13,149,3,11,203,18,650,184,LAMAR,09/23/2020,1655
0,5,6,0,8,0,0,825,133,7,13,65,0,2,112,6,692,164,LAUDERDALE,09/23/2020,2038
0,0,0,0,1,0,0,156,18,1,5,13,0,12,67,1,142,13,LAWRENCE,09/23/2020,429
1,61,133,0,1,0,1,288,41,71,6,24,3,1,47,11,219,38,LEAKE,09/23/2020,946
0,1,0,2,12,3,2,684,121,25,23,39,18,15,207,24,1209,269,LEE,09/23/2020,2654
0,1,9,0,2,1,1,631,368,2,6,82,1,2,64,2,120,91,LEFLORE,09/23/2020,1383
0,1,0,0,0,0,1,256,33,5,24,58,0,10,126,5,492,64,LINCOLN,09/23/2020,1075
0,1,0,0,3,1,2,559,99,10,8,36,0,3,290,4,349,84,LOWNDES,09/23/2020,1449
1,7,1,0,23,3,5,1112,226,158,47,201,7,16,257,17,965,187,MADISON,09/23/2020,3233
0,1,0,0,2,0,0,223,28,9,19,17,0,6,85,3,408,44,MARION,09/23/2020,845
0,1,0,0,1,0,0,365,102,17,14,58,1,3,265,16,158,84,MARSHALL,09/23/2020,1085
0,1,1,0,1,0,0,323,50,0,10,28,1,7,101,0,551,133,MONROE,09/23/2020,1207
0,4,17,0,0,0,0,183,25,0,3,8,0,0,19,0,164,35,MONTGOMERY,09/23/2020,458
2,277,427,1,4,0,1,219,47,13,11,33,0,0,77,3,335,106,NESHOBA,09/23/2020,1556
1,41,95,0,0,0,0,189,30,2,5,23,0,1,75,1,235,69,NEWTON,09/23/2020,767
0,0,1,0,0,0,0,289,59,1,6,33,0,2,68,0,63,24,NOXUBEE,09/23/2020,546
0,1,0,0,1,0,0,533,129,9,24,130,1,5,142,3,634,151,OKTIBBEHA,09/23/2020,1763
0,0,1,0,1,0,2,573,298,14,11,34,0,6,226,3,194,92,PANOLA,09/23/2020,1455
0,1,1,0,0,0,0,105,18,1,6,56,1,1,221,8,352,99,PEARL RIVER,09/23/2020,870
0,0,1,0,1,0,0,56,24,1,4,32,0,4,78,0,156,59,PERRY,09/23/2020,416
0,1,0,1,2,0,2,497,26,1,17,11,0,5,270,2,368,21,PIKE,09/23/2020,1224
1,0,0,0,1,1,0,131,38,96,6,48,17,8,187,29,462,224,PONTOTOC,09/23/2020,1249
0,2,2,0,0,0,0,116,14,1,7,8,1,3,151,1,453,75,PRENTISS,09/23/2020,834
0,0,0,0,0,0,1,168,73,0,6,29,0,2,62,0,26,6,QUITMAN,09/23/2020,373
0,3,1,2,14,2,5,665,109,87,46,202,2,16,404,14,1365,288,RANKIN,09/23/2020,3225
3,4,4,0,0,0,1,386,41,198,9,30,2,1,149,20,276,47,SCOTT,09/23/2020,1171
0,0,1,0,0,0,0,71,49,1,0,9,0,1,90,0,35,8,SHARKEY,09/23/2020,265
0,2,1,0,0,0,0,268,105,5,7,26,0,25,129,0,356,94,SIMPSON,09/23/2020,1018
0,0,0,0,0,0,0,117,21,2,6,13,0,2,37,0,286,45,SMITH,09/23/2020,529
0,1,0,0,0,0,0,72,15,0,7,30,0,0,56,7,141,36,STONE,09/23/2020,365
0,1,5,0,3,0,3,701,220,1,29,93,0,10,145,2,159,67,SUNFLOWER,09/23/2020,1439
0,0,0,0,0,0,1,261,190,3,7,22,0,5,74,1,88,112,TALLAHATCHIE,09/23/2020,764
