# Cases Race/Ethnicity: American Indian or Alaska Native (Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Not Hispanic),# Cases Race/Ethnicity: American Indian or Alaska Native (Unknown Ethnicity),# Cases Race/Ethnicity: Asian (Hispanic),# Cases Race/Ethnicity: Asian (Not Hispanic),# Cases Race/Ethnicity: Asian (Unknown Ethnicity),# Cases Race/Ethnicity: Black or African American (Hispanic),# Cases Race/Ethnicity: Black or African American (Not Hispanic),# Cases Race/Ethnicity: Black or African American (Unknown Ethnicity),# Cases Race/Ethnicity: Other Race (Hispanic),# Cases Race/Ethnicity: Other Race (Not Hispanic),# Cases Race/Ethnicity: Other Race (Unknown Ethnicity),# Cases Race/Ethnicity: Unknown Race (Hispanic),# Cases Race/Ethnicity: Unknown Race (Not Hispanic),# Cases Race/Ethnicity: Unknown Race (Unknown Ethnicity),# Cases Race/Ethnicity: White (Hispanic),# Cases Race/Ethnicity: White (Not Hispanic),# Cases Race/Ethnicity: White (Unknown Ethnicity),County Name,Report Date,Total Cases
0,8,1,0,1,1,1,347,28,132,15,55,3,1,29,29,272,42,JONES,06/23/2020,965
0,7,9,0,0,0,2,106,5,0,5,2,0,0,5,0,26,2,KEMPER,06/23/2020,169
0,0,0,0,1,0,1,79,11,3,16,18,1,1,52,2,90,14,LAFAYETTE,06/23/2020,289
0,0,1,0,0,0,0,99,16,25,3,10,2,4,41,5,126,23,LAMAR,06/23/2020,355
0,3,1,0,7,0,0,490,29,3,6,17,0,3,11,3,259,24,LAUDERDALE,06/23/2020,856
0,0,0,0,1,0,0,86,4,0,1,4,0,2,6,0,30,1,LAWRENCE,06/23/2020,135
1,41,125,0,0,0,1,174,4,66,4,4,3,0,16,10,53,8,LEAKE,06/23/2020,510
0,1,0,0,1,0,2,167,28,4,8,5,0,2,46,3,127,9,LEE,06/23/2020,403
0,0,0,0,1,0,1,315,24,0,2,14,0,2,13,0,60,2,LEFLORE,06/23/2020,434
0,0,0,0,0,0,0,125,13,4,5,9,0,3,18,1,201,17,LINCOLN,06/23/2020,396
0,0,0,0,1,0,0,258,19,2,2,2,0,0,55,1,56,3,LOWNDES,06/23/2020,399
0,2,0,0,5,0,1,522,48,87,15,48,0,1,70,11,203,21,MADISON,06/23/2020,1034
0,0,0,0,1,0,0,71,5,5,1,5,0,1,8,1,95,10,MARION,06/23/2020,203
0,0,0,0,1,0,0,69,6,2,1,3,1,0,29,5,29,2,MARSHALL,06/23/2020,148
0,1,0,0,0,0,0,129,15,0,7,6,0,1,20,0,133,6,MONROE,06/23/2020,318
0,1,0,0,0,0,0,56,3,0,1,3,0,0,5,0,37,1,MONTGOMERY,06/23/2020,107
1,214,401,0,1,0,1,131,11,1,1,9,0,1,26,3,106,9,NESHOBA,06/23/2020,916
0,30,90,0,0,0,0,119,6,2,0,3,0,0,16,1,55,4,NEWTON,06/23/2020,326
0,0,0,0,0,0,0,162,7,0,2,2,0,1,24,0,23,6,NOXUBEE,06/23/2020,227
0,1,0,0,0,0,0,244,19,2,9,14,0,0,23,0,113,6,OKTIBBEHA,06/23/2020,431
0,0,0,0,0,0,0,109,17,0,1,3,0,2,46,0,23,3,PANOLA,06/23/2020,204
0,0,1,0,0,0,0,63,4,0,1,10,0,1,8,1,124,15,PEARL RIVER,06/23/2020,228
0,0,1,0,0,0,0,12,2,0,0,2,0,0,1,0,32,6,PERRY,06/23/2020,56
